期刊名,Quartile,,,,,,
Lancet Planetary Health,Q1,,,,,,
JAMA Neurology,Q1,,,,,,
Advanced Fiber Materials,Q1,,,,,,
SusMat,Q1,,,,,,
International Journal of Extreme Manufacturing,Q1,,,,,,
INTENSIVE CARE MEDICINE,Q1,,,,,,
Science Bulletin,Q1,,,,,,
Applied Catalysis B-Environment and Energy,Q1,,,,,,
EUROPEAN RESPIRATORY JOURNAL,Q1,,,,,,
AMERICAN JOURNAL OF BIOETHICS,Q1,,,,,,
Nature Metabolism,Q1,,,,,,
Journal of Thoracic Oncology,Q1,,,,,,
TRENDS IN PLANT SCIENCE,Q1,,,,,,
Annual Review of Public Health,Q1,,,,,,
REPORTS ON PROGRESS IN PHYSICS,Q1,,,,,,
ANNALS OF THE RHEUMATIC DISEASES,Q1,,,,,,
Annual Review of Biochemistry,Q1,,,,,,
Cell Stem Cell,Q1,,,,,,
Lancet Microbe,Q1,,,,,,
Environmental Chemistry Letters,Q1,,,,,,
Bioactive Materials,Q1,,,,,,
Nature Chemistry,Q1,,,,,,
Energy Storage Materials,Q1,,,,,,
JAMA Oncology,Q1,,,,,,
NATURE NEUROSCIENCE,Q1,,,,,,
Nature Synthesis,Q1,,,,,,
TRENDS IN PHARMACOLOGICAL SCIENCES,Q1,,,,,,
PSYCHOLOGICAL BULLETIN,Q1,,,,,,
Cellular & Molecular Immunology,Q1,,,,,,
Chem,Q1,,,,,,
Nature Microbiology,Q1,,,,,,
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,Q1,,,,,,
Nature Aging,Q1,,,,,,
ADVANCES IN COLLOID AND INTERFACE SCIENCE,Q1,,,,,,
CLINICAL MICROBIOLOGY REVIEWS,Q1,,,,,,
IEEE-CAA Journal of Automatica Sinica,Q1,,,,,,
PhotoniX,Q1,,,,,,
NATURE CELL BIOLOGY,Q1,,,,,,
Annual Review of Physiology,Q1,,,,,,
ADVANCED FUNCTIONAL MATERIALS,Q1,,,,,,
Annual Review of Marine Science,Q1,,,,,,
Advanced Photonics,Q1,,,,,,
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,Q1,,,,,,
Cell Host & Microbe,Q1,,,,,,
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,Q1,,,,,,
Nature Physics,Q1,,,,,,
Computational Visual Media,Q1,,,,,,
Nature Computational Science,Q1,,,,,,
ACS Energy Letters,Q1,,,,,,
Cyborg and Bionic Systems,Q1,,,,,,
TRENDS IN CELL BIOLOGY,Q1,,,,,,
JAMA Pediatrics,Q1,,,,,,
Lancet Global Health,Q1,,,,,,
Nano Materials Science,Q1,,,,,,
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,Q1,,,,,,
Lancet Haematology,Q1,,,,,,
Chinese Journal of Catalysis,Q1,,,,,,
ACCOUNTS OF CHEMICAL RESEARCH,Q1,,,,,,
Psychological Science in the Public Interest,Q1,,,,,,
ADVANCED DRUG DELIVERY REVIEWS,Q1,,,,,,
Eco-Environment & Health,Q1,,,,,,
Molecular Neurodegeneration,Q1,,,,,,
Matter,Q1,,,,,,
Trends in Cancer,Q1,,,,,,
PSYCHOTHERAPY AND PSYCHOSOMATICS,Q1,,,,,,
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,Q1,,,,,,
PHARMACOLOGICAL REVIEWS,Q1,,,,,,
TRENDS IN ECOLOGY & EVOLUTION,Q1,,,,,,
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,Q1,,,,,,
TRENDS IN COGNITIVE SCIENCES,Q1,,,,,,
STUDIES IN MYCOLOGY,Q1,,,,,,
JAMA Psychiatry,Q1,,,,,,
National Science Review,Q1,,,,,,
Nano Energy,Q1,,,,,,
eTransportation,Q1,,,,,,
Clinical and Molecular Hepatology,Q1,,,,,,
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,Q1,,,,,,
International Journal of Educational Technology in Higher Education,Q1,,,,,,
Annual Review of Entomology,Q1,,,,,,
DIABETES CARE,Q1,,,,,,
Journal of Advanced Ceramics,Q1,,,,,,
Molecular Cell,Q1,,,,,,
CANCER RESEARCH,Q1,,,,,,
Annual Review of Clinical Psychology,Q1,,,,,,
Academy of Management Annals,Q1,,,,,,
Lancet Rheumatology,Q1,,,,,,
IEEE Geoscience and Remote Sensing Magazine,Q1,,,,,,
Journal of the National Comprehensive Cancer Network,Q1,,,,,,
Green Energy and Intelligent Transportation,Q1,,,,,,
Science Immunology,Q1,,,,,,
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,Q1,,,,,,
TRENDS IN GENETICS,Q1,,,,,,
BRITISH JOURNAL OF SPORTS MEDICINE,Q1,,,,,,
CIRCULATION RESEARCH,Q1,,,,,,
PROGRESS IN AEROSPACE SCIENCES,Q1,,,,,,
HUMAN REPRODUCTION UPDATE,Q1,,,,,,
Nature Geoscience,Q1,,,,,,
Applied Mechanics Reviews,Q1,,,,,,
Nature Protocols,Q1,,,,,,
ACS Nano,Q1,,,,,,
Annual Review of Environment and Resources,Q1,,,,,,
Nature Human Behaviour,Q1,,,,,,
Energy Material Advances,Q1,,,,,,
HEPATOLOGY,Q1,,,,,,
Physical Review X,Q1,,,,,,
PERIODONTOLOGY 2000,Q1,,,,,,
SEMINARS IN CANCER BIOLOGY,Q1,,,,,,
Nature Communications,Q1,,,,,,
Journal of the American Chemical Society,Q1,,,,,,
Lancet Child & Adolescent Health,Q1,,,,,,
Journal of Innovation & Knowledge,Q1,,,,,,
Information Fusion,Q1,,,,,,
npj Flexible Electronics,Q1,,,,,,
BMEMat,Q1,,,,,,
INTERNATIONAL MATERIALS REVIEWS,Q1,,,,,,
Statistics Surveys,Q1,,,,,,
TRENDS IN FOOD SCIENCE & TECHNOLOGY,Q1,,,,,,
CELL DEATH AND DIFFERENTIATION,Q1,,,,,,
One Earth,Q1,,,,,,
RADIOLOGY,Q1,,,,,,
ANNALS OF INTERNAL MEDICINE,Q1,,,,,,
JACC-Cardiovascular Imaging,Q1,,,,,,
Translational Neurodegeneration,Q1,,,,,,
Mycosphere,Q1,,,,,,
npj Digital Medicine,Q1,,,,,,
TRENDS IN NEUROSCIENCES,Q1,,,,,,
Neuron,Q1,,,,,,
Bone Research,Q1,,,,,,
JAMA Surgery,Q1,,,,,,
Journal of Energy Chemistry,Q1,,,,,,
PROGRESS IN LIPID RESEARCH,Q1,,,,,,
TRENDS IN BIOTECHNOLOGY,Q1,,,,,,
TRENDS IN MICROBIOLOGY,Q1,,,,,,
International Journal of Transgender Health,Q1,,,,,,
AI Open,Q1,,,,,,
PROGRESS IN RETINAL AND EYE RESEARCH,Q1,,,,,,
AMERICAN JOURNAL OF PSYCHIATRY,Q1,,,,,,
ENDOCRINE PATHOLOGY,Q1,,,,,,
Accounts of Materials Research,Q1,,,,,,
Acta Pharmaceutica Sinica B,Q1,,,,,,
Science Translational Medicine,Q1,,,,,,
Lancet Healthy Longevity,Q1,,,,,,
Nature Reviews Urology,Q1,,,,,,
Green Energy & Environment,Q1,,,,,,
HemaSphere,Q1,,,,,,
Nature Ecology & Evolution,Q1,,,,,,
Communications in Transportation Research,Q1,,,,,,
Journal of Extracellular Vesicles,Q1,,,,,,
DRUGS,Q1,,,,,,
Qualitative Psychology,Q1,,,,,,
IEEE Transactions on Intelligent Vehicles,Q1,,,,,,
Nature Astronomy,Q1,,,,,,
Journal of Materials Science & Technology,Q1,,,,,,
Physics of Life Reviews,Q1,,,,,,
Environmental Science and Ecotechnology,Q1,,,,,,
Autophagy,Q1,,,,,,
Energy Economics,Q1,,,,,,
COMPOSITES PART B-ENGINEERING,Q1,,,,,,
JOURNAL OF MANUFACTURING SYSTEMS,Q1,,,,,,
JAMA Cardiology,Q1,,,,,,
Energy & Environmental Materials,Q1,,,,,,
Advanced Science,Q1,,,,,,
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,Q1,,,,,,
Annual Review of Control Robotics and Autonomous Systems,Q1,,,,,,
ACADEMY OF MANAGEMENT REVIEW,Q1,,,,,,
ARTIFICIAL INTELLIGENCE REVIEW,Q1,,,,,,
TRENDS IN IMMUNOLOGY,Q1,,,,,,
Journal of Magnesium and Alloys,Q1,,,,,,
Advances in Applied Energy,Q1,,,,,,
TRENDS IN MOLECULAR MEDICINE,Q1,,,,,,
Materials Reports: Energy,Q1,,,,,,
ADVANCES IN PHYSICS,Q1,,,,,,
International Journal of Mining Science and Technology,Q1,,,,,,
BEHAVIORAL AND BRAIN SCIENCES,Q1,,,,,,
Nature Chemical Biology,Q1,,,,,,
IEEE Journal of Selected Topics in Signal Processing,Q1,,,,,,
Annual Review of Biophysics,Q1,,,,,,
IEEE TRANSACTIONS ON IMAGE PROCESSING,Q1,,,,,,
Aggregate,Q1,,,,,,
Nature Plants,Q1,,,,,,
JOURNAL OF CLINICAL INVESTIGATION,Q1,,,,,,
Interdisciplinary Medicine,Q1,,,,,,
Trends in Chemistry,Q1,,,,,,
Biochar,Q1,,,,,,
Experimental Hematology & Oncology,Q1,,,,,,
ACTA PHYSICO-CHIMICA SINICA,Q1,,,,,,
Advances in Methods and Practices in Psychological Science,Q1,,,,,,
NEURO-ONCOLOGY,Q1,,,,,,
Implementation Science,Q1,,,,,,
Trends in Environmental Analytical Chemistry,Q1,,,,,,
LEUKEMIA,Q1,,,,,,
Annual Review of Nutrition,Q1,,,,,,
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,Q1,,,,,,
Theranostics,Q1,,,,,,
Business Strategy and the Environment,Q1,,,,,,
CARDIOVASCULAR RESEARCH,Q1,,,,,,
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,Q1,,,,,,
Radiology-Artificial Intelligence,Q1,,,,,,
Annual Review of Neuroscience,Q1,,,,,,
Chemical Engineering Journal,Q1,,,,,,
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,Q1,,,,,,
NUCLEIC ACIDS RESEARCH,Q1,,,,,,
Journal of Retailing and Consumer Services,Q1,,,,,,
CEMENT AND CONCRETE RESEARCH,Q1,,,,,,
Annual Review of Pharmacology and Toxicology,Q1,,,,,,
CEMENT & CONCRETE COMPOSITES,Q1,,,,,,
ACS Catalysis,Q1,,,,,,
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,Q1,,,,,,
Journal of Bioresources and Bioproducts,Q1,,,,,,
Lancet Regional Health-Europe,Q1,,,,,,
Journal of Advanced Research,Q1,,,,,,
Lancet HIV,Q1,,,,,,
HUMAN RESOURCE MANAGEMENT REVIEW,Q1,,,,,,
Annual Review of Earth and Planetary Sciences,Q1,,,,,,
Foundations and Trends in Information Retrieval,Q1,,,,,,
BIOMATERIALS,Q1,,,,,,
EXPERIMENTAL AND MOLECULAR MEDICINE,Q1,,,,,,
ENDOSCOPY,Q1,,,,,,
INTERNATIONAL JOURNAL OF PLASTICITY,Q1,,,,,,
JACC: CardioOncology,Q1,,,,,,
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,Q1,,,,,,
SmartMat,Q1,,,,,,
Protein & Cell,Q1,,,,,,
Annual Review of Chemical and Biomolecular Engineering,Q1,,,,,,
QUARTERLY JOURNAL OF ECONOMICS,Q1,,,,,,
Microbiome,Q1,,,,,,
Computer Science Review,Q1,,,,,,
KIDNEY INTERNATIONAL,Q1,,,,,,
Analytic Methods in Accident Research,Q1,,,,,,
JOURNAL OF NANOBIOTECHNOLOGY,Q1,,,,,,
TRENDS IN ENDOCRINOLOGY AND METABOLISM,Q1,,,,,,
EcoMat,Q1,,,,,,
TECHNOLOGY IN SOCIETY,Q1,,,,,,
Science Advances,Q1,,,,,,
Carbohydrate Polymers,Q1,,,,,,
PHARMACOLOGY & THERAPEUTICS,Q1,,,,,,
Cell Discovery,Q1,,,,,,
BIOTECHNOLOGY ADVANCES,Q1,,,,,,
Carbon Neutrality,Q1,,,,,,
PROGRESS IN QUANTUM ELECTRONICS,Q1,,,,,,
Tourism Management,Q1,,,,,,
FOOD HYDROCOLLOIDS,Q1,,,,,,
WATER RESEARCH,Q1,,,,,,
Artificial Intelligence in Agriculture,Q1,,,,,,
AGEING RESEARCH REVIEWS,Q1,,,,,,
Annual Review of Food Science and Technology,Q1,,,,,,
FEMS MICROBIOLOGY REVIEWS,Q1,,,,,,
International Journal of Oral Science,Q1,,,,,,
COMMUNICATIONS OF THE ACM,Q1,,,,,,
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,Q1,,,,,,
CLINICAL PSYCHOLOGY REVIEW,Q1,,,,,,
Smart Learning Environments,Q1,,,,,,
Small,Q1,,,,,,
JOURNAL OF BIOMEDICAL SCIENCE,Q1,,,,,,
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,Q1,,,,,,
JOURNAL OF FINANCIAL ECONOMICS,Q1,,,,,,
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,Q1,,,,,,
MOLECULAR THERAPY,Q1,,,,,,
Clinical Gastroenterology and Hepatology,Q1,,,,,,
GLOBAL CHANGE BIOLOGY,Q1,,,,,,
IEEE Reviews in Biomedical Engineering,Q1,,,,,,
ALLERGY,Q1,,,,,,
Sustainable Cities and Society,Q1,,,,,,
Advanced Industrial and Engineering Polymer Research,Q1,,,,,,
Carbon Neutralization,Q1,,,,,,
TRAC-TRENDS IN ANALYTICAL CHEMISTRY,Q1,,,,,,
IEEE TRANSACTIONS ON FUZZY SYSTEMS,Q1,,,,,,
METABOLISM-CLINICAL AND EXPERIMENTAL,Q1,,,,,,
Redox Biology,Q1,,,,,,
Asian Journal of Pharmaceutical Sciences,Q1,,,,,,
JOURNAL OF INFECTION,Q1,,,,,,
Protection and Control of Modern Power Systems,Q1,,,,,,
npj Computational Materials,Q1,,,,,,
Biofuel Research Journal-BRJ,Q1,,,,,,
Industrial Chemistry & Materials,Q1,,,,,,
Annual Review of Phytopathology,Q1,,,,,,
Polymer Reviews,Q1,,,,,,
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,Q1,,,,,,
Med,Q1,,,,,,
JACC-Heart Failure,Q1,,,,,,
Facta Universitatis-Series Mechanical Engineering,Q1,,,,,,
MEDICAL IMAGE ANALYSIS,Q1,,,,,,
Journal of Ocean Engineering and Science,Q1,,,,,,
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,Q1,,,,,,
CYTOKINE & GROWTH FACTOR REVIEWS,Q1,,,,,,
BRAIN,Q1,,,,,,
BIOLOGICAL REVIEWS,Q1,,,,,,
Astrophysical Journal Letters,Q1,,,,,,
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,Q1,,,,,,
Annual Review of Physical Chemistry,Q1,,,,,,
AMERICAN ECONOMIC REVIEW,Q1,,,,,,
Earth System Science Data,Q1,,,,,,
Engineering,Q1,,,,,,
Blood Cancer Journal,Q1,,,,,,
PLANT CELL,Q1,,,,,,
Plant Communications,Q1,,,,,,
Journal of Research in Interactive Marketing,Q1,,,,,,
Journal of Industrial Information Integration,Q1,,,,,,
CARBON,Q1,,,,,,
MEDICINAL RESEARCH REVIEWS,Q1,,,,,,
Applied Physics Reviews,Q1,,,,,,
Chem Catalysis,Q1,,,,,,
Smart Medicine,Q1,,,,,,
Blood Cancer Discovery,Q1,,,,,,
IEEE WIRELESS COMMUNICATIONS,Q1,,,,,,
JOURNAL OF CONTROLLED RELEASE,Q1,,,,,,
AUTOMATION IN CONSTRUCTION,Q1,,,,,,
Biomarker Research,Q1,,,,,,
JACC-Cardiovascular Interventions,Q1,,,,,,
EDUCATIONAL PSYCHOLOGIST,Q1,,,,,,
Annual Review of Economics,Q1,,,,,,
REMOTE SENSING OF ENVIRONMENT,Q1,,,,,,
ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,Q1,,,,,,
Evidence-Based Mental Health,Q1,,,,,,
npj Clean Water,Q1,,,,,,
Annual Review of Cell and Developmental Biology,Q1,,,,,,
Annual Review of Ecology Evolution and Systematics,Q1,,,,,,
ACTA NUMERICA,Q1,,,,,,
CANADIAN MEDICAL ASSOCIATION JOURNAL,Q1,,,,,,
JAMA Health Forum,Q1,,,,,,
JOURNAL OF HAZARDOUS MATERIALS,Q1,,,,,,
CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,Q1,,,,,,
ENVIRONMENTAL SCIENCE & TECHNOLOGY,Q1,,,,,,
Reviews in Aquaculture,Q1,,,,,,
Small Structures,Q1,,,,,,
Genome Medicine,Q1,,,,,,
Environmental Impact Assessment Review,Q1,,,,,,
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,Q1,,,,,,
IEEE Computational Intelligence Magazine,Q1,,,,,,
Tungsten,Q1,,,,,,
Energy Materials,Q1,,,,,,
Alzheimers & Dementia,Q1,,,,,,
Human Reproduction Open,Q1,,,,,,
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,Q1,,,,,,
Additive Manufacturing,Q1,,,,,,
JAMA Dermatology,Q1,,,,,,
PRX Quantum,Q1,,,,,,
Journal of Hospitality Marketing & Management,Q1,,,,,,
Gut Microbes,Q1,,,,,,
Current Obesity Reports,Q1,,,,,,
RELIABILITY ENGINEERING & SYSTEM SAFETY,Q1,,,,,,
RARE METALS,Q1,,,,,,
APPLIED ENERGY,Q1,,,,,,
TRENDS IN BIOCHEMICAL SCIENCES,Q1,,,,,,
Nano Convergence,Q1,,,,,,
Arthritis & Rheumatology,Q1,,,,,,
TECHNOVATION,Q1,,,,,,
ENERGY CONVERSION AND MANAGEMENT,Q1,,,,,,
IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,Q1,,,,,,
Nano Today,Q1,,,,,,
RESOURCES CONSERVATION AND RECYCLING,Q1,,,,,,
EUROPEAN JOURNAL OF HEART FAILURE,Q1,,,,,,
Oeconomia Copernicana,Q1,,,,,,
Nature Cardiovascular Research,Q1,,,,,,
EBioMedicine,Q1,,,,,,
INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,Q1,,,,,,
Materials Futures,Q1,,,,,,
Advances in Physics-X,Q1,,,,,,
Research Integrity and Peer Review,Q1,,,,,,
NBER Macroeconomics Annual,Q1,,,,,,
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,Q1,,,,,,
Research,Q1,,,,,,
MedComm,Q1,,,,,,
Materials Horizons,Q1,,,,,,
ANNUAL REVIEWS IN CONTROL,Q1,,,,,,
JOURNAL OF ECONOMIC LITERATURE,Q1,,,,,,
Educational Research Review,Q1,,,,,,
JOURNAL OF EXPERIMENTAL MEDICINE,Q1,,,,,,
Cardiovascular Diabetology,Q1,,,,,,
Cell Reports Medicine,Q1,,,,,,
Journal for ImmunoTherapy of Cancer,Q1,,,,,,
Light-Advanced Manufacturing,Q1,,,,,,
Food Packaging and Shelf Life,Q1,,,,,,
NATURAL PRODUCT REPORTS,Q1,,,,,,
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,Q1,,,,,,
COMPUTERS & EDUCATION,Q1,,,,,,
ACADEMY OF MANAGEMENT JOURNAL,Q1,,,,,,
PHARMACOLOGICAL RESEARCH,Q1,,,,,,
BIOSENSORS & BIOELECTRONICS,Q1,,,,,,
IEEE Transactions on Robotics,Q1,,,,,,
PLANT BIOTECHNOLOGY JOURNAL,Q1,,,,,,
IEEE Transactions on Cybernetics,Q1,,,,,,
Journal of High Energy Astrophysics,Q1,,,,,,
CANCER TREATMENT REVIEWS,Q1,,,,,,
Carbon Capture Science & Technology,Q1,,,,,,
PROGRESS IN SOLID STATE CHEMISTRY,Q1,,,,,,
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,Q1,,,,,,
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,Q1,,,,,,
European Respiratory Review,Q1,,,,,,
ACS Central Science,Q1,,,,,,
JOURNAL OF MARKETING,Q1,,,,,,
JOURNAL OF OPERATIONS MANAGEMENT,Q1,,,,,,
Business & Information Systems Engineering,Q1,,,,,,
Annual Review of Materials Research,Q1,,,,,,
Journal of Sport and Health Science,Q1,,,,,,
SOIL BIOLOGY & BIOCHEMISTRY,Q1,,,,,,
Current Climate Change Reports,Q1,,,,,,
CHINESE JOURNAL OF STRUCTURAL CHEMISTRY,Q1,,,,,,
Wiley Interdisciplinary Reviews-Climate Change,Q1,,,,,,
MOLECULAR ASPECTS OF MEDICINE,Q1,,,,,,
PHYSIOLOGY,Q1,,,,,,
Journal of Rock Mechanics and Geotechnical Engineering,Q1,,,,,,
CLINICAL CANCER RESEARCH,Q1,,,,,,
DIABETOLOGIA,Q1,,,,,,
Materials Today Bio,Q1,,,,,,
JOURNAL OF RETAILING,Q1,,,,,,
CELLULAR & MOLECULAR BIOLOGY LETTERS,Q1,,,,,,
Advanced Sensor and Energy Materials,Q1,,,,,,
International Journal of Surgery,Q1,,,,,,
NATURE STRUCTURAL & MOLECULAR BIOLOGY,Q1,,,,,,
CANCER LETTERS,Q1,,,,,,
MOLECULAR PSYCHIATRY,Q1,,,,,,
Journal of Neuroinflammation,Q1,,,,,,
Satellite Navigation,Q1,,,,,,
