期刊名称,2025分区,Top
ACM Transactions on Multimedia Computing Communications and Applications,3,\
ACM Transactions on Parallel Computing,4,\
ACM Transactions on Privacy and Security,3,\
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,2,\
ACM Transactions on Quantum Computing,3,\
ACM Transactions on Reconfigurable Technology and Systems,3,\
ACM Transactions on Sensor Networks,4,\
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1,Yes
ACM Transactions on Spatial Algorithms and Systems,4,\
ACM Transactions on Storage,3,\
ACM Transactions on the Web,4,\
ACME-Annali della Facolta di Studi Umanistici dell Universita degli Studi di Milano,4,\
ACOUSTICAL PHYSICS,4,\
Acoustical Science and Technology,4,\
Acoustics Australia,4,\
Acoustics,4,\
Acque Sotterranee-Italian Journal of Groundwater,4,\
ACR Open Rheumatology,3,\
Across Languages and Cultures,1,Yes
ACS Agricultural Science & Technology,4,\
ACS Applied Bio Materials,3,\
ACS Applied Electronic Materials,3,\
ACS Applied Energy Materials,3,\
ACS Applied Materials & Interfaces,2,\
ACS Applied Nano Materials,3,\
ACS Applied Polymer Materials,2,\
ACS Bio & Med Chem Au,4,\
ACS Biomaterials Science & Engineering,3,\
ACS Catalysis,1,Yes
ACS Central Science,1,Yes
ACS Chemical Biology,2,\
ACS Chemical Health & Safety,4,\
ACS Chemical Neuroscience,3,\
ACS Earth and Space Chemistry,3,\
ACS Energy Letters,1,Yes
ACS Engineering Au,3,\
ACS Environmental Au,2,\
ACS ES&T Engineering,3,\
ACS ES&T Water,3,\
ACS Food Science & Technology,4,\
ACS Infectious Diseases,2,\
ACS Macro Letters,1,Yes
ACS Materials Au,3,\
ACS Materials Letters,2,\
ACS Measurement Science Au,2,\
ACS Medicinal Chemistry Letters,3,\
ACS Nano,1,Yes
ACS Nanoscience Au,3,\
ACS Omega,3,\
ACS Organic & Inorganic Au,3,\
ACS Pharmacology & Translational Science,3,\
ACS Photonics,1,Yes
ACS Physical Chemistry Au,3,\
ACS Polymers Au,2,\
ACS Sensors,1,Yes
ACS Sustainable Chemistry & Engineering,1,Yes
ACS Synthetic Biology,2,\
ACSMS HEALTH & FITNESS JOURNAL,4,\
ACTA ACUSTICA,4,\
ACTA ADRIATICA,4,\
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,4,\
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,4,\
ACTA AGROBOTANICA,3,\
ACTA ALIMENTARIA,4,\
ACTA AMAZONICA,4,\
ACTA ANAESTHESIOLOGICA BELGICA,4,\
ACTA ANAESTHESIOLOGICA SCANDINAVICA,4,\
Acta Analytica-International Periodical for Philosophy in the Analytical Tradition,3,\
Acta Angiologica,4,\
ACTA APPLICANDAE MATHEMATICAE,4,\
ACTA ARCHAEOLOGICA,3,\
ACTA ARITHMETICA,3,\
ACTA ASTRONAUTICA,2,\
ACTA ASTRONOMICA,4,\
Acta Balneologica,4,\
Acta Baltico-Slavica,4,\
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,2,\
ACTA BIOCHIMICA POLONICA,4,\
Acta Bioclinica,4,\
Acta Bioethica,4,\
ACTA BIOLOGICA COLOMBIANA,4,\
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,4,\
Acta Biomaterialia,1,Yes
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,4,\
ACTA BIOTHEORETICA,3,\
Acta Borealia,4,\
Acta Botanica Brasilica,4,\
ACTA BOTANICA CROATICA,4,\
Acta Botanica Mexicana,4,\
Acta Brasiliensis,4,\
Acta Cardiologica Sinica,4,\
ACTA CARDIOLOGICA,4,\
ACTA CARSOLOGICA,4,\
Acta Chemica Iasi,4,\
ACTA CHIMICA SINICA,2,\
Acta Chimica Slovaca,4,\
ACTA CHIMICA SLOVENICA,4,\
ACTA CHIROPTEROLOGICA,4,\
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,4,\
ACTA CHIRURGICA BELGICA,4,\
ACTA CHROMATOGRAPHICA,4,\
Acta Cirurgica Brasileira,4,\
Acta Classica,3,\
ACTA CLINICA BELGICA,4,\
Acta Clinica Croatica,4,\
Acta Colombiana de Psicologia,4,\
Acta Crystallographica A-Foundation and Advances,4,\
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,3,\
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,4,\
Acta Crystallographica Section D-Structural Biology,4,\
Acta Crystallographica Section E-Crystallographic Communications,4,\
Acta Crystallographica Section F-Structural Biology Communications,4,\
Acta Cybernetica,4,\
ACTA CYTOLOGICA,4,\
ACTA DERMATO-VENEREOLOGICA,3,\
Acta Dermatovenerologica Alpina Pannonica et Adriatica,4,\
Acta Dermatovenerologica Croatica,4,\
ACTA DIABETOLOGICA,3,\
Acta Endocrinologica-Bucharest,4,\
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,3,\
Acta Epileptologica,4,\
Acta et Commentationes Universitatis Tartuensis de Mathematica,4,\
ACTA ETHOLOGICA,4,\
Acta Facultatis Medicae Naissensis,4,\
Acta Facultatis Xylologiae Zvolen,4,\
ACTA GASTRO-ENTEROLOGICA BELGICA,4,\
Acta Geochimica,3,\
Acta Geodaetica et Geophysica,4,\
Acta Geodynamica et Geomaterialia,4,\
Acta Geographica Slovenica-Geografski Zbornik,4,\
ACTA GEOLOGICA POLONICA,4,\
ACTA GEOLOGICA SINICA-ENGLISH EDITION,4,\
Acta Geophysica,4,\
Acta Geotechnica Slovenica,4,\
Acta Geotechnica,1,Yes
Acta Germanica-German studies in Africa,4,\
Acta Gymnica,4,\
ACTA HAEMATOLOGICA,4,\
Acta Herpetologica,4,\
ACTA HISTOCHEMICA ET CYTOCHEMICA,4,\
ACTA HISTOCHEMICA,3,\
Acta Historica Tallinnensia,3,\
Acta Historica Universitatis Klaipedensis,4,\
Acta Histriae,2,\
ACTA ICHTHYOLOGICA ET PISCATORIA,4,\
Acta Informatica Pragensia,4,\
ACTA INFORMATICA,4,\
Acta Kinesiologica,4,\
Acta Koreana,4,\
Acta Linguistica Academica,3,\
Acta Literaria,4,\
Acta Logistica,4,\
ACTA MATERIALIA,1,Yes
ACTA MATHEMATICA HUNGARICA,4,\
ACTA MATHEMATICA SCIENTIA,3,\
ACTA MATHEMATICA SINICA-ENGLISH SERIES,4,\
Acta Mathematica Universitatis Comenianae,4,\
Acta Mathematica Vietnamica,4,\
ACTA MATHEMATICA,1,Yes
Acta Mathematicae Applicatae Sinica-English Series,4,\
Acta Mechanica et Automatica,4,\
ACTA MECHANICA SINICA,2,\
ACTA MECHANICA SOLIDA SINICA,4,\
ACTA MECHANICA,3,\
Acta Medica Indonesiana,4,\
ACTA MEDICA OKAYAMA,4,\
Acta Medica Portuguesa,4,\
Acta Medico-Historica Adriatica,4,\
Acta Metallurgica Sinica-English Letters,2,\
ACTA METALLURGICA SINICA,2,\
Acta Metallurgica Slovaca,4,\
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,4,\
ACTA MISSIOLOGICA,3,\
Acta Montanistica Slovaca,4,\
ACTA MUSICOLOGICA,1,Yes
Acta Naturae,4,\
Acta Neophilologica,3,\
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,4,\
ACTA NEUROCHIRURGICA,3,\
ACTA NEUROLOGICA BELGICA,4,\
ACTA NEUROLOGICA SCANDINAVICA,3,\
Acta Neuropathologica Communications,1,Yes
ACTA NEUROPATHOLOGICA,1,Yes
ACTA NEUROPSYCHIATRICA,4,\
Acta Neuropsychologica,4,\
ACTA NUMERICA,1,Yes
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,2,\
ACTA OCEANOLOGICA SINICA,2,\
ACTA ODONTOLOGICA SCANDINAVICA,4,\
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,4,\
ACTA OECONOMICA,4,\
Acta of Bioengineering and Biomechanics,4,\
ACTA ONCOLOGICA,3,\
ACTA OPHTHALMOLOGICA,3,\
ACTA OPTICA SINICA,2,\
Acta Orientalia Academiae Scientiarum Hungaricae,3,\
ACTA ORNITHOLOGICA,4,\
Acta Orthopaedica Belgica,4,\
Acta Orthopaedica et Traumatologica Turcica,4,\
Acta Orthopaedica,2,\
Acta Ortopedica Brasileira,4,\
Acta Oto-Laryngologica Case Reports,4,\
ACTA OTO-LARYNGOLOGICA,4,\
Acta Otorhinolaryngologica Italica,3,\
Acta Otorrinolaringologica Espanola,4,\
ACTA PAEDIATRICA,4,\
ACTA PALAEONTOLOGICA POLONICA,3,\
ACTA PARASITOLOGICA,3,\
Acta Paulista de Enfermagem,4,\
Acta Pediatrica de Mexico,4,\
ACTA PETROLOGICA SINICA,2,\
Acta Pharmaceutica Sinica B,1,Yes
ACTA PHARMACEUTICA,4,\
ACTA PHARMACOLOGICA SINICA,2,\
Acta Philosophica,4,\
Acta Phlebologica,4,\
Acta Photonica Sinica,3,\
ACTA PHYSICA POLONICA A,4,\
ACTA PHYSICA POLONICA B,4,\
ACTA PHYSICA SINICA,3,\
ACTA PHYSICO-CHIMICA SINICA,2,\
ACTA PHYSIOLOGIAE PLANTARUM,4,\
Acta Physiologica,1,Yes
Acta Phytotaxonomica et Geobotanica,4,\
Acta Poetica,3,\
Acta Politica,3,\
ACTA POLONIAE HISTORICA,4,\
ACTA POLONIAE PHARMACEUTICA,4,\
ACTA POLYMERICA SINICA,2,\
Acta Polytechnica Hungarica,4,\
Acta Polytechnica,4,\
ACTA PROTOZOOLOGICA,4,\
ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA,4,\
ACTA PSYCHIATRICA SCANDINAVICA,2,\
Acta Psychologica Sinica,2,\
ACTA PSYCHOLOGICA,3,\
Acta Radiologica Open,4,\
ACTA RADIOLOGICA,4,\
Acta Scientiae Veterinariae,4,\
ACTA SCIENTIARUM MATHEMATICARUM,4,\
Acta Scientiarum Polonorum-Formatio Circumiectus,4,\
Acta Scientiarum Polonorum-Hortorum Cultus,4,\
Acta Scientiarum Polonorum-Technologia Alimentaria,4,\
ACTA SCIENTIARUM-AGRONOMY,4,\
ACTA SCIENTIARUM-HEALTH SCIENCES,4,\
ACTA SCIENTIARUM-TECHNOLOGY,4,\
Acta Silvae et Ligni,4,\
ACTA SOCIETATIS BOTANICORUM POLONIAE,4,\
ACTA SOCIOLOGICA,3,\
Acta Stomatologica Croatica,4,\
Acta Structilia,4,\
Acta Technica Napocensis Series-Applied Mathematics Mechanics and Engineering,4,\
Acta Technologica Agriculturae,4,\
Acta Theologica,4,\
ACTA TROPICA,3,\
Acta Turistica,4,\
Acta Universitatis Carolinae Theologica,3,\
Acta Universitatis Lodziensis Folia Litteraria Romanica,4,\
Acta Universitatis Sapientiae Informatica,4,\
Acta Universitatis Sapientiae-Film and Media Studies,3,\
Acta Universitatis Sapientiae-Mathematica,4,\
ACTA VETERINARIA BRNO,4,\
Acta Veterinaria Eurasia,4,\
ACTA VETERINARIA HUNGARICA,4,\
ACTA VETERINARIA SCANDINAVICA,2,\
ACTA VETERINARIA-BEOGRAD,4,\
ACTA VIROLOGICA,4,\
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,4,\
ACTA ZOOLOGICA BULGARICA,4,\
ACTA ZOOLOGICA,4,\
Actas Dermo-Sifiliograficas,4,\
ACTAS ESPANOLAS DE PSIQUIATRIA,4,\
Actas Urologicas Espanolas,4,\
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,4,\
Action Learning,4,\
Action Research,4,\
Active Learning in Higher Education,1,Yes
Activitas Nervosa Superior Rediviva,4,\
Activites-Revue Electronique,4,\
Activities Adaptation & Aging,4,\
Actualidad Contable Faces,4,\
Actualidad Juridica Ambiental,4,\
Actualidades en Psicologia,4,\
Actualidades Pedagogicas,4,\
Actualites Pharmaceutiques,4,\
Actualizaciones en Osteologia,4,\
Actuators,3,\
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,4,\
Acupuncture and Herbal Medicine,4,\
Acupuncture in Medicine,4,\
Acute and Critical Care,4,\
Acute Medicine & Surgery,4,\
Ad Hoc & Sensor Wireless Networks,4,\
Ad Hoc Networks,3,\
AD-minister,4,\
Adalya,4,\
ADANSONIA,4,\
Adaptation-The Journal of Literature on Screen Studies,3,\
ADAPTED PHYSICAL ACTIVITY QUARTERLY,4,\
ADAPTIVE BEHAVIOR,4,\
Adaptive Human Behavior and Physiology,4,\
ADCAIJ-Advances in Distributed Computing and Artificial Intelligence Journal,4,\
AdComunica-Revista Cientifica de Estrategias Tendencias e Innovacion en Communicacion,4,\
Addicta-The Turkish Journal on Addictions,4,\
ADDICTION BIOLOGY,3,\
ADDICTION RESEARCH & THEORY,4,\
Addiction Science & Clinical Practice,2,\
ADDICTION,2,Yes
ADDICTIVE BEHAVIORS,2,\
Additive Manufacturing Letters,3,\
Additive Manufacturing,1,Yes
Adelaide Law Review,4,\
Adeptus,4,\
Adicciones,4,\
Adipocyte,3,\
ADMET and DMPK,4,\
Administracao Publica e Gestao Social,4,\
Administracao-Ensino e Pesquisa,4,\
ADMINISTRATION & SOCIETY,3,\
Administration and Policy in Mental Health and Mental Health Services Research,3,\
Administration,4,\
ADMINISTRATIVE SCIENCE QUARTERLY,1,Yes
Administrative Sciences,3,\
Adolescent Health Medicine and Therapeutics,4,\
Adolescent Psychiatry,4,\
Adolescent Research Review,2,\
Adoption and Fostering,4,\
Adoption Quarterly,4,\
ADSORPTION SCIENCE & TECHNOLOGY,4,\
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,4,\
ADULT EDUCATION QUARTERLY,4,\
Adult Learning,4,\
Advanced Biology,4,\
Advanced Biomedical Engineering,4,\
Advanced Biomedical Research,4,\
ADVANCED COMPOSITE MATERIALS,4,\
Advanced Composites and Hybrid Materials,1,Yes
ADVANCED DRUG DELIVERY REVIEWS,1,Yes
Advanced Education,4,\
Advanced Electromagnetics,4,\
Advanced Electronic Materials,3,\
Advanced Emergency Nursing Journal,4,\
Advanced Energy and Sustainability Research,4,\
Advanced Energy Materials,1,Yes
ADVANCED ENGINEERING INFORMATICS,1,Yes
ADVANCED ENGINEERING MATERIALS,3,\
Advanced Fiber Materials,1,Yes
ADVANCED FUNCTIONAL MATERIALS,1,Yes
Advanced Healthcare Materials,2,Yes
Advanced Industrial and Engineering Polymer Research,1,Yes
Advanced Intelligent Systems,3,\
Advanced Manufacturing-Polymer & Composites Science,4,\
ADVANCED MATERIALS & PROCESSES,4,\
Advanced Materials Interfaces,3,\
Advanced Materials Technologies,3,\
ADVANCED MATERIALS,1,Yes
Advanced Modeling and Simulation in Engineering Sciences,3,\
Advanced NanoBiomed Research,4,\
ADVANCED NONLINEAR STUDIES,1,Yes
Advanced Optical Materials,2,\
Advanced Optical Technologies,4,\
Advanced Pharmaceutical Bulletin,4,\
Advanced Photonics Research,3,\
Advanced Photonics,1,Yes
Advanced Powder Materials,1,Yes
ADVANCED POWDER TECHNOLOGY,3,\
Advanced Quantum Technologies,2,\
ADVANCED ROBOTICS,4,\
Advanced Science,1,Yes
Advanced Sensor and Energy Materials,4,\
Advanced Steel Construction,4,\
Advanced Studies-Euro-Tbilisi Mathematical Journal,4,\
Advanced Sustainable Systems,3,\
ADVANCED SYNTHESIS & CATALYSIS,2,\
Advanced Theory and Simulations,3,\
Advanced Therapeutics,4,\
Advancements in Life Sciences,4,\
Advancements of Microbiology,4,\
Advances and Applications in Discrete Mathematics,4,\
Advances and Applications in Statistics,4,\
Advances in Accounting,4,\
Advances in Aerodynamics,2,\
Advances in Agriculture,4,\
Advances in Aircraft and Spacecraft Science,4,\
ADVANCES IN ANATOMIC PATHOLOGY,2,\
Advances in Applied Ceramics,4,\
Advances in Applied Clifford Algebras,4,\
Advances in Applied Energy,1,Yes
Advances in Applied Mathematics and Mechanics,4,\
ADVANCES IN APPLIED MATHEMATICS,3,\
ADVANCES IN APPLIED PROBABILITY,3,\
Advances in Archaeological Practice,1,Yes
Advances in Astronomy and Space Physics,4,\
Advances in Astronomy,3,\
ADVANCES IN ATMOSPHERIC SCIENCES,1,Yes
Advances in Autism,4,\
Advances in Building Energy Research,4,\
Advances in Calculus of Variations,3,\
Advances in Cancer Biology-Metastasis,4,\
ADVANCES IN CEMENT RESEARCH,4,\
Advances in Civil and Architectural Engineering,4,\
Advances in Civil Engineering Materials,4,\
Advances in Civil Engineering,4,\
Advances in Climate Change Research,1,Yes
Advances in Clinical and Experimental Medicine,4,\
Advances in Cognitive Psychology,4,\
ADVANCES IN COLLOID AND INTERFACE SCIENCE,1,Yes
ADVANCES IN COMPLEX SYSTEMS,4,\
"Advances in Computational Design, An International Journal",4,\
ADVANCES IN COMPUTATIONAL MATHEMATICS,3,\
Advances in Concrete Construction,4,\
Advances in Condensed Matter Physics,4,\
Advances in Continuous and Discrete Models,2,\
Advances in Data Analysis and Classification,4,\
Advances in Data Science and Adaptive Analysis,4,\
Advances in Developing Human Resources,3,\
Advances in Differential Equations and Control Processes,4,\
Advances in Differential Equations,2,\
Advances in Digestive Medicine,4,\
Advances in Dual Diagnosis,4,\
Advances in Electrical and Computer Engineering,4,\
Advances in Electrical and Electronic Engineering,4,\
Advances in Energy Research,4,\
ADVANCES IN ENGINEERING SOFTWARE,3,\
Advances in Environmental Research-An International Journal,4,\
Advances in Fuzzy Systems,4,\
Advances in Geo-Energy Research,1,Yes
Advances in Geodesy and Geoinformation,4,\
ADVANCES IN GEOMETRY,4,\
Advances in Gerontology,4,\
Advances in Group Theory and Applications,4,\
ADVANCES IN HEALTH SCIENCES EDUCATION,2,Yes
Advances in High Energy Physics,4,\
Advances in Hospitality and Tourism Research-AHTR,4,\
Advances in Human Biology,4,\
Advances in Human-Computer Interaction,4,\
Advances in Industrial and Manufacturing Engineering,3,\
Advances in Integrative Medicine,4,\
Advances in Kidney Disease and Health,4,\
Advances in Laboratory Medicine-Avances en Medicina de Laboratorio,4,\
Advances in Life Course Research,2,\
Advances in Manufacturing,3,\
Advances in Materials and Processing Technologies,4,\
Advances in Materials Research-An International Journal,4,\
Advances in Materials Science,4,\
Advances in Mathematical Physics,4,\
Advances in Mathematics of Communications,4,\
ADVANCES IN MATHEMATICS,1,Yes
Advances in Mechanical Engineering,4,\
Advances in Medical Education and Practice,4,\
Advances in Medical Sciences,4,\
Advances in Mental Health and Intellectual Disabilities,4,\
Advances in Mental Health,4,\
Advances in Meteorology,4,\
Advances in Methods and Practices in Psychological Science,1,Yes
Advances in Multimedia,4,\
Advances in Nano Research,4,\
Advances in Natural Sciences-Nanoscience and Nanotechnology,4,\
Advances in Neonatal Care,4,\
Advances in Neurodevelopmental Disorders,4,\
Advances in Nonlinear Analysis,1,Yes
ADVANCES IN NURSING SCIENCE,4,\
Advances in Nutrition,2,Yes
Advances in Operator Theory,4,\
Advances in Optics and Photonics,1,Yes
Advances in Orthopedics,4,\
Advances in Pharmacological and Pharmaceutical Sciences,4,\
Advances in Pharmacology and Pharmacy,4,\
Advances in Physics-X,2,\
ADVANCES IN PHYSICS,1,Yes
ADVANCES IN PHYSIOLOGY EDUCATION,4,\
ADVANCES IN POLYMER TECHNOLOGY,4,\
Advances in Production Engineering & Management,3,\
Advances in Public Health,4,\
Advances in Pure and Applied Mathematics,4,\
Advances in Radiation Oncology,4,\
Advances in Radio Science,4,\
Advances in Rehabilitation Science and Practice,4,\
Advances in Respiratory Medicine,4,\
Advances in Rheumatology,4,\
Advances in Sample Preparation,2,\
Advances in Science and Technology-Research Journal,4,\
Advances in Simulation,3,\
Advances in Skin & Wound Care,4,\
ADVANCES IN SPACE RESEARCH,3,\
ADVANCES IN STRUCTURAL ENGINEERING,4,\
Advances in Theoretical and Mathematical Physics,4,\
ADVANCES IN THERAPY,3,\
Advances in Traditional Medicine,4,\
Advances in Urology,3,\
Advances in Virology,4,\
ADVANCES IN WATER RESOURCES,2,\
Advances in Weed Science,4,\
Advances in Wound Care,3,\
Aedos-Revista do Corpo Discente do Programa de Pos-Graduacao em Historia da UFRGS,4,\
AEM Education and Training,4,\
Aeolian Research,3,\
Aequationes Mathematicae,3,\
AERA Open,2,\
AEROBIOLOGIA,4,\
AERONAUTICAL JOURNAL,4,\
Aerosol and Air Quality Research,4,\
Aerosol Science and Engineering,4,\
AEROSOL SCIENCE AND TECHNOLOGY,4,\
AEROSPACE AMERICA,4,\
Aerospace Medicine and Human Performance,4,\
Aerospace Research in Bulgaria,4,\
Aerospace Science and Technology,1,Yes
Aerospace,3,\
AESTHETIC PLASTIC SURGERY,3,\
Aesthetic Surgery Journal Open Forum,4,\
Aesthetic Surgery Journal,3,\
Aestimum,4,\
AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,3,\
AEVUM-RASSEGNA DI SCIENZE STORICHE LINGUISTICHE E FILOLOGICHE,3,\
Affective Science,4,\
Affilia-Feminist Inquiry in Social Work,3,\
Afghanistan,4,\
AFINIDAD,4,\
Afkar-Jurnal Akidah & Pemikiran Islam-Journal of Aqidah & Islamic Thought,3,\
Africa Education Review,4,\
Africa Journal of Management,4,\
Africa Review,4,\
Africa Spectrum,2,\
AFRICA,2,\
AFRICAN AFFAIRS,2,\
AFRICAN AMERICAN REVIEW,3,\
African and Asian Studies,4,\
African Archaeological Review,2,\
AFRICAN ARTS,3,\
AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT,3,\
African Diaspora,4,\
African Disability Rights Yearbook,4,\
AFRICAN ECONOMIC HISTORY,2,\
AFRICAN ENTOMOLOGY,4,\
African Geographical Review,4,\
African Health Sciences,4,\
African Historical Review,4,\
AFRICAN INVERTEBRATES,3,\
African Journal of Accounting Auditing and Finance,4,\
African Journal of Agricultural and Resource Economics-AFJARE,4,\
AFRICAN JOURNAL OF AQUATIC SCIENCE,4,\
African Journal of Business Ethics,4,\
African Journal of Disability,4,\
AFRICAN JOURNAL OF ECOLOGY,4,\
African Journal of Economic and Management Studies,4,\
African Journal of Emergency Medicine,4,\
African Journal of Health Professions Education,4,\
AFRICAN JOURNAL OF HERPETOLOGY,4,\
African Journal of Information Systems,4,\
African Journal of International and Comparative Law,4,\
African Journal of Laboratory Medicine,4,\
African Journal of Legal Studies,4,\
African Journal of Library Archives and Information Science,4,\
AFRICAN JOURNAL OF MARINE SCIENCE,4,\
African Journal of Neurological Sciences,4,\
African Journal of Nursing and Midwifery,4,\
African Journal of Primary Health Care & Family Medicine,4,\
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,4,\
African Journal of Reproductive Health,4,\
African Journal of Research in Mathematics Science and Technology Education,4,\
African Journal of Rhetoric,4,\
African Journal of Science Technology Innovation & Development,4,\
African Journal of Urology,4,\
African Journal of Wildlife Research,4,\
African Journal on Conflict Resolution,4,\
African Journalism Studies,3,\
African Review of Economics and Finance-AREF,4,\
African Security Review,3,\
African Security,2,\
African Sociological Review,4,\
