Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
FAMILY PRACTICE,FAMILY PRACTICE,4,,Q2
FAMILY PROCESS,FAMILY PROCESS,3,,Q1
FAMILY RELATIONS,FAMILY RELATIONS,3,,Q1
FARADAY DISCUSSIONS,FARADAY DISCUSSIONS,2,,Q3
Farmaceuticos Comunitarios,FARMACEUTICOS COMUNITARIOS,4,,Q4
FARMACIA,FARMACIA,4,,Q4
FARMACIA HOSPITALARIA,FARMACIA HOSPITALARIA,4,,Q4
Farmeconomia-Health Economics and Therapeutic Pathways,FARMECONOMIA HEALTH ECONOMICS AND THERAPEUTIC PATHWAYS,4,,Q4
Farming System,FARMING SYSTEM,,,Q1
Fascism,FASCISM,2,,
FASEB BioAdvances,FASEB BIOADVANCES,4,,Q4
FASEB JOURNAL,FASEB JOURNAL,2,,Q1
Fashion and Textiles,FASHION AND TEXTILES,4,,Q1
Fashion Practice-The Journal of Design Creative Process & the Fashion Industry,FASHION PRACTICE JOURNAL OF DESIGN CREATIVE PROCESS AND FASHION INDUSTRY,4,,
Fashion Style & Popular Culture,FASHION STYLE AND POPULAR CULTURE,4,,
Fashion Theory-The Journal of Dress Body & Culture,FASHION THEORY JOURNAL OF DRESS BODY AND CULTURE,3,,
Fat Studies-An Interdisciplinary Journal of Body Weight and Society,FAT STUDIES AN INTERDISCIPLINARY JOURNAL OF BODY WEIGHT AND SOCIETY,4,,Q2
FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES,FATIGUE AND FRACTURE OF ENGINEERING MATERIALS AND STRUCTURES,3,,Q2
Fatigue-Biomedicine Health and Behavior,FATIGUE BIOMEDICINE HEALTH AND BEHAVIOR,4,,Q3
FDMP-Fluid Dynamics & Materials Processing,FDMP FLUID DYNAMICS AND MATERIALS PROCESSING,4,,Q4
FEBS Journal,FEBS JOURNAL,2,,Q2
FEBS LETTERS,FEBS LETTERS,4,,Q2
FEBS Open Bio,FEBS OPEN BIO,4,,Q3
FEDERAL RESERVE BANK OF ST LOUIS REVIEW,FEDERAL RESERVE BANK OF ST LOUIS REVIEW,4,,Q3
FEMINISM & PSYCHOLOGY,FEMINISM AND PSYCHOLOGY,2,,Q1
Feminismo-s,FEMINISMO S,4,,Q4
Feminist Africa,FEMINIST AFRICA,4,,Q3
Feminist Anthropology,FEMINIST ANTHROPOLOGY,,,Q1
Feminist Criminology,FEMINIST CRIMINOLOGY,4,,Q1
FEMINIST ECONOMICS,FEMINIST ECONOMICS,2,,Q1
Feminist German Studies,FEMINIST GERMAN STUDIES,4,,Q4
Feminist Legal Studies,FEMINIST LEGAL STUDIES,3,,Q1
Feminist Media Histories,FEMINIST MEDIA HISTORIES,2,,Q3
Feminist Media Studies,FEMINIST MEDIA STUDIES,2,,Q2
FEMINIST REVIEW,FEMINIST REVIEW,4,,Q3
FEMINIST STUDIES,FEMINIST STUDIES,4,,Q4
Feminist Theology,FEMINIST THEOLOGY,4,,
Feminist Theory,FEMINIST THEORY,2,,Q3
Feministische Studien,FEMINISTISCHE STUDIEN,4,,Q4
FEMS Microbes,FEMS MICROBES,,,Q2
FEMS MICROBIOLOGY ECOLOGY,FEMS MICROBIOLOGY ECOLOGY,3,,Q2
FEMS MICROBIOLOGY LETTERS,FEMS MICROBIOLOGY LETTERS,4,,Q3
FEMS MICROBIOLOGY REVIEWS,FEMS MICROBIOLOGY REVIEWS,1,Yes,Q1
FEMS YEAST RESEARCH,FEMS YEAST RESEARCH,4,,Q3
Fennia-International Journal of Geography,FENNIA INTERNATIONAL JOURNAL OF GEOGRAPHY,4,,Q2
Fermentation-Basel,FERMENTATION BASEL,3,,Q2
FERROELECTRICS,FERROELECTRICS,4,,Q4
FERROELECTRICS LETTERS SECTION,FERROELECTRICS LETTERS SECTION,4,,Q4
FERTILITY AND STERILITY,FERTILITY AND STERILITY,1,Yes,Q1
Festival dell Architettura Magazine,FESTIVAL DELL ARCHITETTURA MAGAZINE,4,,
Fetal and Pediatric Pathology,FETAL AND PEDIATRIC PATHOLOGY,4,,Q4
FETAL DIAGNOSIS AND THERAPY,FETAL DIAGNOSIS AND THERAPY,3,,Q3
FEW-BODY SYSTEMS,FEW BODY SYSTEMS,4,,Q2
FIBER AND INTEGRATED OPTICS,FIBER AND INTEGRATED OPTICS,3,,Q3
Fibers,FIBERS,3,,Q2
FIBERS AND POLYMERS,FIBERS AND POLYMERS,4,,Q2
FIBONACCI QUARTERLY,FIBONACCI QUARTERLY,4,,Q4
FIBRE CHEMISTRY,FIBRE CHEMISTRY,4,,Q4
FIBRES & TEXTILES IN EASTERN EUROPE,FIBRES AND TEXTILES IN EASTERN EUROPE,4,,Q3
Fictions-Studi Sulla Narrativita,FICTIONS STUDI SULLA NARRATIVITA,4,,
FIDDLEHEAD,FIDDLEHEAD,,,
FIELD CROPS RESEARCH,FIELD CROPS RESEARCH,1,Yes,Q1
Field Methods,FIELD METHODS,4,,Q2
Fieldwork in Religion,FIELDWORK IN RELIGION,4,,
FIIB Business Review,FIIB BUSINESS REVIEW,4,,Q2
Filigrane-Revue de Psychanalyse,FILIGRANE REVUE DE PSYCHANALYSE,4,,Q4
FILM CRITICISM,FILM CRITICISM,4,,
Film Fashion & Consumption,FILM FASHION AND CONSUMPTION,2,,
Film History,FILM HISTORY,3,,
Film International,FILM INTERNATIONAL,4,,
Film-Philosophy,FILM PHILOSOPHY,1,Yes,
FILM QUARTERLY,FILM QUARTERLY,3,,
Filologia Mediolatina,FILOLOGIA MEDIOLATINA,4,,
Filologicheskie Nauki-Nauchnye Doklady Vysshei Shkoly-Philological Sciences-Scientific Essays of Higher Education,FILOLOGICHESKIE NAUKI NAUCHNYE DOKLADY VYSSHEI SHKOLY PHILOLOGICAL SCIENCES SCIENTIFIC ESSAYS OF HIGHER EDUCATION,4,,
Filomat,FILOMAT,4,,Q2
Filosofia Politica,FILOSOFIA POLITICA,4,,
Filosofia Unisinos,FILOSOFIA UNISINOS,4,,
FILOSOFICKY CASOPIS,FILOSOFICKY CASOPIS,4,,
Filosofija-Sociologija,FILOSOFIJA SOCIOLOGIJA,4,,Q4
Filosofiya-Philosophy,FILOSOFIYA PHILOSOPHY,4,,
Filosofskii Zhurnal,FILOSOFSKII ZHURNAL,4,,
FILOZOFIA,FILOZOFIA,4,,
Filozofia Nauki,FILOZOFIA NAUKI,4,,
Filozofska Istrazivanja,FILOZOFSKA ISTRAZIVANJA,4,,
FILOZOFSKI VESTNIK,FILOZOFSKI VESTNIK,4,,
Filtration + Separation,FILTRATION SEPARATION,4,,Q4
FINANCE A UVER-CZECH JOURNAL OF ECONOMICS AND FINANCE,FINANCE A UVER CZECH JOURNAL OF ECONOMICS AND FINANCE,4,,Q4
FINANCE AND STOCHASTICS,FINANCE AND STOCHASTICS,3,,Q2
Finance Research Letters,FINANCE RESEARCH LETTERS,2,,Q1
Financial Accountability & Management,FINANCIAL ACCOUNTABILITY AND MANAGEMENT,3,,Q2
FINANCIAL ANALYSTS JOURNAL,FINANCIAL ANALYSTS JOURNAL,3,,Q2
Financial and Credit Activity-Problems of Theory and Practice,FINANCIAL AND CREDIT ACTIVITY PROBLEMS OF THEORY AND PRACTICE,4,,Q4
Financial History Review,FINANCIAL HISTORY REVIEW,4,,Q2
Financial Innovation,FINANCIAL INNOVATION,1,Yes,Q1
Financial Internet Quarterly,FINANCIAL INTERNET QUARTERLY,4,,Q4
FINANCIAL MANAGEMENT,FINANCIAL MANAGEMENT,3,,Q1
Financial Markets and Portfolio Management,FINANCIAL MARKETS AND PORTFOLIO MANAGEMENT,4,,Q3
FINANCIAL REVIEW,FINANCIAL REVIEW,3,,Q2
FinanzArchiv-European Journal of Public Finance,FINANZARCHIV EUROPEAN JOURNAL OF PUBLIC FINANCE,4,,Q4
Finisterra-Revista Portuguesa de Geografia,FINISTERRA REVISTA PORTUGUESA DE GEOGRAFIA,4,,Q4
FINITE ELEMENTS IN ANALYSIS AND DESIGN,FINITE ELEMENTS IN ANALYSIS AND DESIGN,3,,Q1
FINITE FIELDS AND THEIR APPLICATIONS,FINITE FIELDS AND THEIR APPLICATIONS,2,,Q1
Finlay,FINLAY,4,,Q4
FIRE AND MATERIALS,FIRE AND MATERIALS,4,,Q3
Fire Ecology,FIRE ECOLOGY,3,,Q1
Fire Safety Journal,FIRE SAFETY JOURNAL,3,,Q2
Fire-Switzerland,FIRE SWITZERLAND,3,,Q1
FIRE TECHNOLOGY,FIRE TECHNOLOGY,4,,Q2
FirePhysChem,FIREPHYSCHEM,,,Q2
First Language,FIRST LANGUAGE,3,,Q2
First Peoples Child & Family Review,FIRST PEOPLES CHILD AND FAMILY REVIEW,,,Q4
FISCAL STUDIES,FISCAL STUDIES,3,,Q3
FISH AND FISHERIES,FISH AND FISHERIES,1,Yes,Q1
FISH & SHELLFISH IMMUNOLOGY,FISH AND SHELLFISH IMMUNOLOGY,2,Yes,Q1
Fish and Shellfish Immunology Reports,FISH AND SHELLFISH IMMUNOLOGY REPORTS,4,,Q1
FISH PATHOLOGY,FISH PATHOLOGY,4,,Q4
FISH PHYSIOLOGY AND BIOCHEMISTRY,FISH PHYSIOLOGY AND BIOCHEMISTRY,3,,Q2
FISHERIES,FISHERIES,3,,Q2
FISHERIES MANAGEMENT AND ECOLOGY,FISHERIES MANAGEMENT AND ECOLOGY,3,,Q2
FISHERIES OCEANOGRAPHY,FISHERIES OCEANOGRAPHY,3,,Q1
FISHERIES RESEARCH,FISHERIES RESEARCH,2,,Q2
FISHERIES SCIENCE,FISHERIES SCIENCE,4,,Q3
FISHERY BULLETIN,FISHERY BULLETIN,4,,Q4
FISHERY TECHNOLOGY,FISHERY TECHNOLOGY,4,,Q4
Fishes,FISHES,3,,Q1
Fitoterapia,FITOTERAPIA,3,,Q3
Fixed Point Theory,FIXED POINT THEORY,4,,Q1
Fixed Point Theory and Algorithms for Sciences and Engineering,FIXED POINT THEORY AND ALGORITHMS FOR SCIENCES AND ENGINEERING,,,Q3
FlatChem,FLATCHEM,3,,Q2
FLAVOUR AND FRAGRANCE JOURNAL,FLAVOUR AND FRAGRANCE JOURNAL,4,,Q3
FLEISCHWIRTSCHAFT,FLEISCHWIRTSCHAFT,4,,Q4
Flexible and Printed Electronics,FLEXIBLE AND PRINTED ELECTRONICS,4,,Q2
Flexible Services and Manufacturing Journal,FLEXIBLE SERVICES AND MANUFACTURING JOURNAL,3,,Q2
FLORA,FLORA,3,,Q2
Flora Infeksiyon Hastaliklari ve Klinik Mikrobiyoloji Dergisi,FLORA INFEKSIYON HASTALIKLARI VE KLINIK MIKROBIYOLOJI DERGISI,4,,Q4
Florence Nightingale Journal of Nursing,FLORENCE NIGHTINGALE JOURNAL OF NURSING,4,,Q4
Floresta e Ambiente,FLORESTA E AMBIENTE,4,,Q4
FLORIDA ENTOMOLOGIST,FLORIDA ENTOMOLOGIST,4,,Q3
Flow,FLOW,3,,Q3
FLOW MEASUREMENT AND INSTRUMENTATION,FLOW MEASUREMENT AND INSTRUMENTATION,3,,Q2
FLOW TURBULENCE AND COMBUSTION,FLOW TURBULENCE AND COMBUSTION,3,,Q2
FLUCTUATION AND NOISE LETTERS,FLUCTUATION AND NOISE LETTERS,4,,Q4
Flugmedizin Tropenmedizin Reisemedizin,FLUGMEDIZIN TROPENMEDIZIN REISEMEDIZIN,4,,Q4
Fluid Dynamics,FLUID DYNAMICS,4,,Q4
FLUID DYNAMICS RESEARCH,FLUID DYNAMICS RESEARCH,4,,Q4
FLUID PHASE EQUILIBRIA,FLUID PHASE EQUILIBRIA,3,,Q2
Fluids,FLUIDS,4,,Q3
Fluids and Barriers of the CNS,FLUIDS AND BARRIERS OF CNS,2,,Q1
Fluminensia,FLUMINENSIA,4,,
FLUORIDE,FLUORIDE,4,,Q4
FLY,FLY,4,,Q4
FME Transactions,FME TRANSACTIONS,4,,Q4
Focaal-Journal of Global and Historical Anthropology,FOCAAL JOURNAL OF GLOBAL AND HISTORICAL ANTHROPOLOGY,2,,Q1
Focus on Autism and Other Developmental Disabilities,FOCUS ON AUTISM AND OTHER DEVELOPMENTAL DISABILITIES,4,,Q1
Focus on Health Professional Education-A Multidisciplinary Journal,FOCUS ON HEALTH PROFESSIONAL EDUCATION A MULTIDISCIPLINARY JOURNAL,4,,Q1
FOLIA BIOLOGICA,FOLIA BIOLOGICA,4,,Q4
FOLIA BIOLOGICA-KRAKOW,FOLIA BIOLOGICA KRAKOW,4,,Q3
FOLIA GEOBOTANICA,FOLIA GEOBOTANICA,4,,Q3
Folia Geographica,FOLIA GEOGRAPHICA,3,,Q2
FOLIA HISTOCHEMICA ET CYTOBIOLOGICA,FOLIA HISTOCHEMICA ET CYTOBIOLOGICA,4,,Q4
Folia Horticulturae,FOLIA HORTICULTURAE,3,,Q2
FOLIA LINGUISTICA,FOLIA LINGUISTICA,3,,Q3
Folia Linguistica et Litteraria,FOLIA LINGUISTICA ET LITTERARIA,4,,
FOLIA MICROBIOLOGICA,FOLIA MICROBIOLOGICA,4,,Q2
FOLIA MORPHOLOGICA,FOLIA MORPHOLOGICA,4,,Q3
FOLIA NEUROPATHOLOGICA,FOLIA NEUROPATHOLOGICA,4,,Q3
Folia Oecologica,FOLIA OECOLOGICA,4,,Q3
FOLIA PARASITOLOGICA,FOLIA PARASITOLOGICA,4,,Q3
FOLIA PHONIATRICA ET LOGOPAEDICA,FOLIA PHONIATRICA ET LOGOPAEDICA,4,,Q4
FOLIA PRIMATOLOGICA,FOLIA PRIMATOLOGICA,4,,Q3
Folk Life-Journal of Ethnological Studies,FOLK LIFE JOURNAL OF ETHNOLOGICAL STUDIES,4,,
FOLK MUSIC JOURNAL,FOLK MUSIC JOURNAL,4,,
Folklor/Edebiyat-Folklore/Literature,FOLKLOR EDEBIYAT FOLKLORE LITERATURE,4,,
FOLKLORE,FOLKLORE,4,,
Folklore-Electronic Journal of Folklore,FOLKLORE ELECTRONIC JOURNAL OF FOLKLORE,4,,
FONTES ARTIS MUSICAE,FONTES ARTIS MUSICAE,2,,
Fontes Linguae Vasconum,FONTES LINGUAE VASCONUM,4,,Q4
Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure & Risk Assessment,FOOD ADDITIVES AND CONTAMINANTS PART A CHEMISTRY ANALYSIS CONTROL EXPOSURE AND RISK ASSESSMENT,3,,Q3
Food Additives & Contaminants Part B-Surveillance,FOOD ADDITIVES AND CONTAMINANTS PART B SURVEILLANCE,3,,Q2
Food Analytical Methods,FOOD ANALYTICAL METHODS,3,,Q2
FOOD AND AGRICULTURAL IMMUNOLOGY,FOOD AND AGRICULTURAL IMMUNOLOGY,4,,Q3
Food and Bioprocess Technology,FOOD AND BIOPROCESS TECHNOLOGY,2,Yes,Q1
FOOD AND BIOPRODUCTS PROCESSING,FOOD AND BIOPRODUCTS PROCESSING,2,,Q2
FOOD AND CHEMICAL TOXICOLOGY,FOOD AND CHEMICAL TOXICOLOGY,4,,Q2
FOOD AND DRUG LAW JOURNAL,FOOD AND DRUG LAW JOURNAL,4,,Q3
Food and Energy Security,FOOD AND ENERGY SECURITY,2,,Q1
Food and Environmental Virology,FOOD AND ENVIRONMENTAL VIROLOGY,3,,Q2
Food and Foodways,FOOD AND FOODWAYS,4,,Q2
Food & Function,FOOD AND FUNCTION,2,Yes,Q1
FOOD AND NUTRITION BULLETIN,FOOD AND NUTRITION BULLETIN,4,,Q3
Food & Nutrition Research,FOOD AND NUTRITION RESEARCH,3,,Q2
Food and Waterborne Parasitology,FOOD AND WATERBORNE PARASITOLOGY,2,,Q1
Food Bioengineering,FOOD BIOENGINEERING,,,Q3
Food Biophysics,FOOD BIOPHYSICS,4,,Q2
Food Bioscience,FOOD BIOSCIENCE,2,Yes,Q1
FOOD BIOTECHNOLOGY,FOOD BIOTECHNOLOGY,4,,Q3
Food Chemistry,FOOD CHEMISTRY,1,Yes,Q1
Food Chemistry: Molecular Sciences,FOOD CHEMISTRY MOLECULAR SCIENCES,2,,Q2
Food Chemistry-X,FOOD CHEMISTRY X,1,Yes,Q1
FOOD CONTROL,FOOD CONTROL,1,Yes,Q1
Food Culture & Society,FOOD CULTURE AND SOCIETY,4,,Q3
Food Engineering Reviews,FOOD ENGINEERING REVIEWS,2,,Q1
Food Frontiers,FOOD FRONTIERS,1,Yes,Q1
FOOD HYDROCOLLOIDS,FOOD HYDROCOLLOIDS,1,Yes,Q1
Food Hydrocolloids for Health,FOOD HYDROCOLLOIDS FOR HEALTH,2,,Q1
Food Hygiene and Safety Science,FOOD HYGIENE AND SAFETY SCIENCE,4,,
FOOD MICROBIOLOGY,FOOD MICROBIOLOGY,1,Yes,Q1
Food Packaging and Shelf Life,FOOD PACKAGING AND SHELF LIFE,1,Yes,Q1
FOOD POLICY,FOOD POLICY,1,Yes,Q1
Food Production Processing and Nutrition,FOOD PRODUCTION PROCESSING AND NUTRITION,2,,Q1
Food Quality and Preference,FOOD QUALITY AND PREFERENCE,1,Yes,Q1
Food Quality and Safety,FOOD QUALITY AND SAFETY,2,,Q2
FOOD RESEARCH INTERNATIONAL,FOOD RESEARCH INTERNATIONAL,1,Yes,Q1
FOOD REVIEWS INTERNATIONAL,FOOD REVIEWS INTERNATIONAL,2,,Q1
FOOD SCIENCE AND BIOTECHNOLOGY,FOOD SCIENCE AND BIOTECHNOLOGY,4,,Q2
Food Science and Human Wellness,FOOD SCIENCE AND HUMAN WELLNESS,1,Yes,Q1
Food Science & Nutrition,FOOD SCIENCE AND NUTRITION,2,,Q2
FOOD SCIENCE AND TECHNOLOGY INTERNATIONAL,FOOD SCIENCE AND TECHNOLOGY INTERNATIONAL,4,,Q3
FOOD SCIENCE AND TECHNOLOGY RESEARCH,FOOD SCIENCE AND TECHNOLOGY RESEARCH,4,,Q4
Food Science of Animal Resources,FOOD SCIENCE OF ANIMAL RESOURCES,3,,Q2
Food Security,FOOD SECURITY,2,,Q1
Food Structure-Netherlands,FOOD STRUCTURE NETHERLANDS,2,,Q1
FOOD TECHNOLOGY AND BIOTECHNOLOGY,FOOD TECHNOLOGY AND BIOTECHNOLOGY,4,,Q3
Food Webs,FOOD WEBS,3,,Q3
Foodborne Pathogens and Disease,FOODBORNE PATHOGENS AND DISEASE,3,,Q3
Foods,FOODS,2,,Q1
Foods and Raw Materials,FOODS AND RAW MATERIALS,4,,Q4
Foot and Ankle Clinics,FOOT AND ANKLE CLINICS,3,,Q3
FOOT & ANKLE INTERNATIONAL,FOOT AND ANKLE INTERNATIONAL,2,,Q2
Foot & Ankle Specialist,FOOT AND ANKLE SPECIALIST,4,,Q2
Foot and Ankle Surgery,FOOT AND ANKLE SURGERY,3,,Q2
Footwear Science,FOOTWEAR SCIENCE,3,,Q1
Forces in Mechanics,FORCES IN MECHANICS,3,,Q2
FORDHAM LAW REVIEW,FORDHAM LAW REVIEW,3,,Q2
Forecasting,FORECASTING,3,,Q1
FOREIGN AFFAIRS,FOREIGN AFFAIRS,3,,
FOREIGN LANGUAGE ANNALS,FOREIGN LANGUAGE ANNALS,2,,Q2
Foreign Policy Analysis,FOREIGN POLICY ANALYSIS,3,,Q2
Foreign Trade Review,FOREIGN TRADE REVIEW,4,,Q3
Forensic Chemistry,FORENSIC CHEMISTRY,3,,Q3
Forensic Imaging,FORENSIC IMAGING,4,,Q4
Forensic Science International,FORENSIC SCIENCE INTERNATIONAL,3,,Q1
Forensic Science International-Digital Investigation,FORENSIC SCIENCE INTERNATIONAL DIGITAL INVESTIGATION,3,,Q3
Forensic Science International-Genetics,FORENSIC SCIENCE INTERNATIONAL GENETICS,2,,Q1
Forensic Science International Genetics Supplement Series,FORENSIC SCIENCE INTERNATIONAL GENETICS SUPPLEMENT SERIES,4,,
Forensic Science Medicine and Pathology,FORENSIC SCIENCE MEDICINE AND PATHOLOGY,4,,Q3
Forensic Sciences Research,FORENSIC SCIENCES RESEARCH,4,,Q2
Forensic Toxicology,FORENSIC TOXICOLOGY,4,,Q2
Forensische Psychiatrie Psychologie Kriminologie,FORENSISCHE PSYCHIATRIE PSYCHOLOGIE KRIMINOLOGIE,4,,Q4
Foresight,FORESIGHT,4,,Q2
Foresight and STI Governance,FORESIGHT AND STI GOVERNANCE,4,,Q3
Forest and Society,FOREST AND SOCIETY,3,,Q3
FOREST ECOLOGY AND MANAGEMENT,FOREST ECOLOGY AND MANAGEMENT,2,Yes,Q1
Forest Ecosystems,FOREST ECOSYSTEMS,1,Yes,Q1
FOREST PATHOLOGY,FOREST PATHOLOGY,4,,Q3
Forest Policy and Economics,FOREST POLICY AND ECONOMICS,1,Yes,Q1
FOREST PRODUCTS JOURNAL,FOREST PRODUCTS JOURNAL,4,,Q2
FOREST SCIENCE,FOREST SCIENCE,4,,Q3
Forest Science and Technology,FOREST SCIENCE AND TECHNOLOGY,3,,Q2
Forest Systems,FOREST SYSTEMS,4,,Q3
Forestist,FORESTIST,4,,Q3
FORESTRY,FORESTRY,2,,Q1
FORESTRY CHRONICLE,FORESTRY CHRONICLE,4,,Q3
Forestry Research,FORESTRY RESEARCH,,,Q1
Forests,FORESTS,3,,Q2
Forests Trees and Livelihoods,FORESTS TREES AND LIVELIHOODS,4,,Q2
Forma y Funcion,FORMA Y FUNCION,4,,Q4
FORMAL ASPECTS OF COMPUTING,FORMAL ASPECTS OF COMPUTING,3,,Q3
FORMAL METHODS IN SYSTEM DESIGN,FORMAL METHODS IN SYSTEM DESIGN,4,,Q4
Formalized Mathematics,FORMALIZED MATHEMATICS,2,,Q2
Formath,FORMATH,4,,Q4
Formosan Journal of Surgery,FORMOSAN JOURNAL OF SURGERY,4,,Q4
Fornvannen-Journal of Swedish Antiquarian Research,FORNVANNEN JOURNAL OF SWEDISH ANTIQUARIAN RESEARCH,4,,Q3
Foro de Educacion,FORO DE EDUCACION,4,,Q4
Foro de Profesores de E-LE,FORO DE PROFESORES DE E LE,4,,Q4
Foro Educacional,FORO EDUCACIONAL,4,,Q4
Foro Internacional,FORO INTERNACIONAL,4,,Q4
Foro-Revista de Ciencias Juridicas y Sociales. NuevaEpoca,FORO REVISTA DE CIENCIAS JURIDICAS Y SOCIALES NUEVAEPOCA,4,,Q4
FORSCHUNG IM INGENIEURWESEN-ENGINEERING RESEARCH,FORSCHUNG IM INGENIEURWESEN ENGINEERING RESEARCH,4,,Q3
FORTSCHRITTE DER NEUROLOGIE PSYCHIATRIE,FORTSCHRITTE DER NEUROLOGIE PSYCHIATRIE,4,,Q4
FORTSCHRITTE DER PHYSIK-PROGRESS OF PHYSICS,FORTSCHRITTE DER PHYSIK PROGRESS OF PHYSICS,2,,Q1
Forum-A Journal of Applied Research in Contemporary Politics,FORUM A JOURNAL OF APPLIED RESEARCH IN CONTEMPORARY POLITICS,4,,Q3
FORUM DER PSYCHOANALYSE,FORUM DER PSYCHOANALYSE,4,,Q3
FORUM FOR DEVELOPMENT STUDIES,FORUM FOR DEVELOPMENT STUDIES,3,,Q3
FORUM FOR MODERN LANGUAGE STUDIES,FORUM FOR MODERN LANGUAGE STUDIES,3,,
Forum for Social Economics,FORUM FOR SOCIAL ECONOMICS,4,,Q3
Forum for World Literature Studies,FORUM FOR WORLD LITERATURE STUDIES,4,,
FORUM ITALICUM,FORUM ITALICUM,4,,
FORUM MATHEMATICUM,FORUM MATHEMATICUM,2,,Q2
FORUM MODERNES THEATER,FORUM MODERNES THEATER,4,,
Forum of Mathematics Pi,FORUM OF MATHEMATICS PI,1,Yes,Q1
Forum of Mathematics Sigma,FORUM OF MATHEMATICS SIGMA,2,Yes,Q1
Forum-Revue Internationale d Interpretation et de Traduction-International Journal of Interpretation and Translation,FORUM REVUE INTERNATIONALE D INTERPRETATION ET DE TRADUCTION INTERNATIONAL JOURNAL OF INTERPRETATION AND TRANSLATION,4,,
Fossil Record,FOSSIL RECORD,2,,Q1
Fotocinema-Revista Cientifica de Cine y Fotografia,FOTOCINEMA REVISTA CIENTIFICA DE CINE Y FOTOGRAFIA,3,,
Fottea,FOTTEA,3,,Q3
Foundation Review,FOUNDATION REVIEW,4,,Q4
Foundations and Trends in Communications and Information Theory,FOUNDATIONS AND TRENDS IN COMMUNICATIONS AND INFORMATION THEORY,2,,Q2
Foundations and Trends in Computer Graphics and Vision,FOUNDATIONS AND TRENDS IN COMPUTER GRAPHICS AND VISION,2,,Q1
Foundations and Trends in Databases,FOUNDATIONS AND TRENDS IN DATABASES,3,,Q4
Foundations and Trends in Electronic Design Automation,FOUNDATIONS AND TRENDS IN ELECTRONIC DESIGN AUTOMATION,,,Q3
Foundations and Trends in Entrepreneurship,FOUNDATIONS AND TRENDS IN ENTREPRENEURSHIP,4,,Q3
Foundations and Trends in Information Retrieval,FOUNDATIONS AND TRENDS IN INFORMATION RETRIEVAL,1,Yes,Q1
Foundations and Trends in Machine Learning,FOUNDATIONS AND TRENDS IN MACHINE LEARNING,1,Yes,Q1
Foundations and Trends in Marketing,FOUNDATIONS AND TRENDS IN MARKETING,4,,Q4
Foundations and Trends in Networking,FOUNDATIONS AND TRENDS IN NETWORKING,,,Q4
