Journal,Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
KOEDOE,KOEDOE,4,,Q3
KOLNER ZEITSCHRIFT FUR SOZIOLOGIE UND SOZIALPSYCHOLOGIE,KOLNER ZEITSCHRIFT FUR SOZIOLOGIE UND SOZIALPSYCHOLOGIE,4,,Q3
KOME-An International Journal of Pure Communication Inquiry,KOME AN INTERNATIONAL JOURNAL OF PURE COMMUNICATION INQUIRY,4,,Q4
Kompleksnoe Ispolzovanie Mineralnogo Syra,KOMPLEKSNOE ISPOLZOVANIE MINERALNOGO SYRA,4,,Q3
Komunikacie - vedecke listy Zilinskej univerzity v Ziline,KOMUNIKACIE VEDECKE LISTY ZILINSKEJ UNIVERZITY V ZILINE,,,Q4
KONA Powder and Particle Journal,KONA POWDER AND PARTICLE JOURNAL,4,,Q2
Konstantinove Listy-Constantines Letters,KONSTANTINOVE LISTY CONSTANTINES LETTERS,3,,
KONSTHISTORISK TIDSKRIFT,KONSTHISTORISK TIDSKRIFT,2,,
Konsultativnaya Psikhologiya i Psikhoterapiya-Counseling Psychology and Psychotherapy,KONSULTATIVNAYA PSIKHOLOGIYA I PSIKHOTERAPIYA COUNSELING PSYCHOLOGY AND PSYCHOTHERAPY,4,,Q4
KONTAKT-JOURNAL OF NURSING AND SOCIAL SCIENCES RELATED TO HEALTH AND ILLNESS,KONTAKT JOURNAL OF NURSING AND SOCIAL SCIENCES RELATED TO HEALTH AND ILLNESS,4,,Q4
Konuralp Tip Dergisi,KONURALP TIP DERGISI,4,,Q4
Konya Journal of Engineering Sciences,KONYA JOURNAL OF ENGINEERING SCIENCES,,,Q4
Koot-Revista de Museologia,KOOT REVISTA DE MUSEOLOGIA,4,,
KOREA-AUSTRALIA RHEOLOGY JOURNAL,KOREA AUSTRALIA RHEOLOGY JOURNAL,3,,Q2
KOREA JOURNAL,KOREA JOURNAL,4,,
Korea Observer,KOREA OBSERVER,4,,Q3
Korean Chemical Engineering Research,KOREAN CHEMICAL ENGINEERING RESEARCH,4,,Q4
Korean Circulation Journal,KOREAN CIRCULATION JOURNAL,3,,Q2
Korean Economic Review,KOREAN ECONOMIC REVIEW,4,,Q4
Korean Journal of Anesthesiology,KOREAN JOURNAL OF ANESTHESIOLOGY,3,,Q1
Korean Journal of Applied Statistics,KOREAN JOURNAL OF APPLIED STATISTICS,4,,Q4
KOREAN JOURNAL OF CHEMICAL ENGINEERING,KOREAN JOURNAL OF CHEMICAL ENGINEERING,4,,Q2
KOREAN JOURNAL OF DEFENSE ANALYSIS,KOREAN JOURNAL OF DEFENSE ANALYSIS,4,,Q4
Korean Journal of Family Medicine,KOREAN JOURNAL OF FAMILY MEDICINE,4,,Q1
Korean Journal of Gastroenterology,KOREAN JOURNAL OF GASTROENTEROLOGY,4,,Q4
KOREAN JOURNAL OF INTERNAL MEDICINE,KOREAN JOURNAL OF INTERNAL MEDICINE,4,,Q1
Korean Journal of International and Comparative Law,KOREAN JOURNAL OF INTERNATIONAL AND COMPARATIVE LAW,4,,Q4
Korean Journal of International Studies,KOREAN JOURNAL OF INTERNATIONAL STUDIES,4,,Q4
Korean Journal of Materials Research,KOREAN JOURNAL OF MATERIALS RESEARCH,4,,Q4
Korean Journal of Mathematics,KOREAN JOURNAL OF MATHEMATICS,4,,Q3
Korean Journal of Medical History,KOREAN JOURNAL OF MEDICAL HISTORY,4,,Q4
Korean Journal of Metals and Materials,KOREAN JOURNAL OF METALS AND MATERIALS,4,,Q3
Korean Journal of Optics and Photonics,KOREAN JOURNAL OF OPTICS AND PHOTONICS,4,,Q4
Korean Journal of Orthodontics,KOREAN JOURNAL OF ORTHODONTICS,2,,Q2
Korean Journal of Pain,KOREAN JOURNAL OF PAIN,2,,Q2
KOREAN JOURNAL OF PARASITOLOGY,KOREAN JOURNAL OF PARASITOLOGY,,,Q3
KOREAN JOURNAL OF PHYSIOLOGY & PHARMACOLOGY,KOREAN JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY,4,,Q3
KOREAN JOURNAL OF PLANT TAXONOMY,KOREAN JOURNAL OF PLANT TAXONOMY,4,,Q4
KOREAN JOURNAL OF RADIOLOGY,KOREAN JOURNAL OF RADIOLOGY,2,,Q1
Korean Journal of Remote Sensing,KOREAN JOURNAL OF REMOTE SENSING,4,,Q4
Korean Journal of Women Health Nursing,KOREAN JOURNAL OF WOMEN HEALTH NURSING,4,,Q3
Korean Language in America,KOREAN LANGUAGE IN AMERICA,,,
Korean Linguistics,KOREAN LINGUISTICS,4,,
Korean Studies,KOREAN STUDIES,4,,
Kosciol i Prawo,KOSCIOL I PRAWO,4,,
Kotuitui-New Zealand Journal of Social Sciences Online,KOTUITUI NEW ZEALAND JOURNAL OF SOCIAL SCIENCES ONLINE,4,,Q2
KOVOVE MATERIALY-METALLIC MATERIALS,KOVOVE MATERIALY METALLIC MATERIALS,4,,Q4
Kragujevac Journal of Mathematics,KRAGUJEVAC JOURNAL OF MATHEMATICS,4,,Q3
Kratkie Soobshcheniya Instituta Arkheologii,KRATKIE SOOBSHCHENIYA INSTITUTA ARKHEOLOGII,4,,
Kriterion-Revista de Filosofia,KRITERION REVISTA DE FILOSOFIA,4,,
KRITIKA-EXPLORATIONS IN RUSSIAN AND EURASIAN HISTORY,KRITIKA EXPLORATIONS IN RUSSIAN AND EURASIAN HISTORY,3,,Q2
Kritika Kultura,KRITIKA KULTURA,4,,
Kritike-An Online Journal of Philosophy,KRITIKE AN ONLINE JOURNAL OF PHILOSOPHY,4,,
KronoScope-Journal for the Study of Time,KRONOSCOPE JOURNAL FOR STUDY OF TIME,4,,
Krytyka Prawa-Niezalezne Studia nad Prawem,KRYTYKA PRAWA NIEZALEZNE STUDIA NAD PRAWEM,,,Q4
KSCE Journal of Civil Engineering,KSCE JOURNAL OF CIVIL ENGINEERING,4,,Q3
KSII Transactions on Internet and Information Systems,KSII TRANSACTIONS ON INTERNET AND INFORMATION SYSTEMS,4,,Q4
KSU Tarim ve Doga Dergisi-KSU Journal of Agriculture and Nature,KSU TARIM VE DOGA DERGISI KSU JOURNAL OF AGRICULTURE AND NATURE,4,,Q4
Kultur-Revista Interdisciplinaria sobre la Cultura de la Ciutat,KULTUR REVISTA INTERDISCIPLINARIA SOBRE LA CULTURA DE LA CIUTAT,4,,
Kulturno-Istoricheskaya Psikhologiya-Cultural-Historical Psychology,KULTURNO ISTORICHESKAYA PSIKHOLOGIYA CULTURAL HISTORICAL PSYCHOLOGY,4,,Q4
Kunstiteaduslikke Uurimusi,KUNSTITEADUSLIKKE UURIMUSI,4,,
Kunstliche Intelligenz,KUNSTLICHE INTELLIGENZ,4,,Q2
Kuwait Journal of Science,KUWAIT JOURNAL OF SCIENCE,4,,Q3
Kuwait Medical Journal,KUWAIT MEDICAL JOURNAL,4,,Q4
Kvasny Prumysl,KVASNY PRUMYSL,4,,Q4
Kwartalnik Historii Zydow-Jewish History Quarterly,KWARTALNIK HISTORII ZYDOW JEWISH HISTORY QUARTERLY,4,,Q4
KYBERNETES,KYBERNETES,4,,Q2
KYBERNETIKA,KYBERNETIKA,4,,Q3
Kyiv-Mohyla Humanities Journal,KYIV MOHYLA HUMANITIES JOURNAL,3,,
KYKLOS,KYKLOS,3,,Q3
Kyoto Journal of Mathematics,KYOTO JOURNAL OF MATHEMATICS,3,,Q4
Kyungpook Mathematical Journal,KYUNGPOOK MATHEMATICAL JOURNAL,4,,Q4
Kyushu Journal of Mathematics,KYUSHU JOURNAL OF MATHEMATICS,3,,Q3
