Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
WELT DES ISLAMS,2,,
WELT DES ORIENTS,4,,
WENSHAN REVIEW OF LITERATURE AND CULTURE,4,,
WESLEY AND METHODIST STUDIES,4,,
WEST 86TH A JOURNAL OF DECORATIVE ARTS DESIGN HISTORY AND MATERIAL CULTURE,4,,
WEST AFRICAN JOURNAL OF RADIOLOGY,4,,Q4
WEST EUROPEAN POLITICS,1,Yes,Q1
WEST INDIAN MEDICAL JOURNAL,4,,Q4
WESTERLY,4,,
WESTERN AMERICAN LITERATURE,4,,
WESTERN FOLKLORE,4,,
WESTERN HISTORICAL QUARTERLY,3,,Q1
WESTERN JOURNAL OF COMMUNICATION,3,,Q3
WESTERN JOURNAL OF EMERGENCY MEDICINE,4,,Q2
WESTERN JOURNAL OF LEGAL STUDIES,,,Q4
WESTERN JOURNAL OF NURSING RESEARCH,4,,Q2
WESTERN NORTH AMERICAN NATURALIST,4,,Q4
WESTERN PACIFIC SURVEILLANCE AND RESPONSE,4,,Q4
WESTMINSTER PAPERS IN COMMUNICATION AND CULTURE,,,
WETLANDS,4,,Q3
WETLANDS ECOLOGY AND MANAGEMENT,4,,Q3
WIENER KLINISCHE WOCHENSCHRIFT,4,,Q2
WIENER MEDIZINISCHE WOCHENSCHRIFT,4,,Q2
WIENER TIERARZTLICHE MONATSSCHRIFT,4,,Q4
WILDERNESS AND ENVIRONMENTAL MEDICINE,4,,Q4
WILDFOWL,4,,Q4
WILDLIFE BIOLOGY,3,,Q2
WILDLIFE MONOGRAPHS,2,,Q1
WILDLIFE RESEARCH,3,,Q2
WILDLIFE SOCIETY BULLETIN,4,,
WILEY INTERDISCIPLINARY REVIEWS CLIMATE CHANGE,1,Yes,Q1
WILEY INTERDISCIPLINARY REVIEWS COGNITIVE SCIENCE,2,,Q1
WILEY INTERDISCIPLINARY REVIEWS COMPUTATIONAL MOLECULAR SCIENCE,2,,Q1
WILEY INTERDISCIPLINARY REVIEWS COMPUTATIONAL STATISTICS,2,,Q1
WILEY INTERDISCIPLINARY REVIEWS DATA MINING AND KNOWLEDGE DISCOVERY,3,,Q1
WILEY INTERDISCIPLINARY REVIEWS ENERGY AND ENVIRONMENT,3,,Q2
WILEY INTERDISCIPLINARY REVIEWS FORENSIC SCIENCE,3,,Q1
WILEY INTERDISCIPLINARY REVIEWS NANOMEDICINE AND NANOBIOTECHNOLOGY,2,,Q1
WILEY INTERDISCIPLINARY REVIEWS RNA,2,,Q2
WILEY INTERDISCIPLINARY REVIEWS WATER,1,Yes,Q1
WILLDENOWIA,2,,Q3
WILLIAM AND MARY QUARTERLY,1,Yes,Q1
WILLIAM CARLOS WILLIAMS REVIEW,3,,
WILSON JOURNAL OF ORNITHOLOGY,4,,Q4
WIND,,,Q4
WIND AND STRUCTURES,4,,Q3
WIND ENERGY,3,,Q2
WIND ENERGY SCIENCE,3,,Q2
WIND ENGINEERING,4,,Q4
WINE ECONOMICS AND POLICY,,,Q2
WINTERTHUR PORTFOLIO A JOURNAL OF AMERICAN MATERIAL CULTURE,3,,
WIRELESS NETWORKS,4,,Q3
WIRELESS PERSONAL COMMUNICATIONS,4,,Q3
WIRELESS POWER TRANSFER,4,,Q4
WIRES MECHANISMS OF DISEASE,2,,Q1
WISCONSIN LAW REVIEW,4,,Q1
WITTGENSTEIN STUDIEN,4,,
WMU JOURNAL OF MARITIME AFFAIRS,3,,Q3
WOCHENBLATT FUR PAPIERFABRIKATION,4,,Q4
WOMANS ART JOURNAL,3,,
WOMEN,,,Q2
WOMEN A CULTURAL REVIEW,3,,
WOMEN AND BIRTH,2,,Q1
WOMEN AND CRIMINAL JUSTICE,4,,Q2
WOMEN AND HEALTH,4,,Q2
WOMEN AND MUSIC A JOURNAL OF GENDER AND CULTURE,4,,Q4
WOMEN AND THERAPY,4,,Q2
WOMEN IN SPORT AND PHYSICAL ACTIVITY JOURNAL,,,Q2
WOMENS HEALTH,3,,Q1
WOMENS HEALTH ISSUES,3,,Q1
WOMENS HEALTH NURSING,,,
WOMENS HEALTH REPORTS,4,,Q2
WOMENS HISTORY REVIEW,3,,Q1
WOMENS STUDIES AN INTERDISCIPLINARY JOURNAL,3,,
WOMENS STUDIES IN COMMUNICATION,2,,Q2
WOMENS STUDIES INTERNATIONAL FORUM,3,,Q1
WOMENS WRITING,4,,
WOOD AND FIBER SCIENCE,4,,Q3
WOOD MATERIAL SCIENCE AND ENGINEERING,3,,Q2
WOOD RESEARCH,4,,Q3
WOOD SCIENCE AND TECHNOLOGY,2,,Q1
WORD AND IMAGE,2,,
WORD AND TEXT A JOURNAL OF LITERARY STUDIES AND LINGUISTICS,3,,
WORD JOURNAL OF INTERNATIONAL LINGUISTIC ASSOCIATION,2,,Q3
WORD STRUCTURE,2,,
WORDSWORTH CIRCLE,3,,
WORK A JOURNAL OF PREVENTION ASSESSMENT AND REHABILITATION,4,,Q3
WORK AGING AND RETIREMENT,2,,Q2
WORK AND OCCUPATIONS,1,Yes,Q1
WORK AND STRESS,1,Yes,Q1
WORK EMPLOYMENT AND SOCIETY,3,,Q1
WORKPLACE A JOURNAL FOR ACADEMIC LABOR,,,Q3
WORKPLACE HEALTH AND SAFETY,4,,Q2
WORLD,3,,Q1
WORLD ALLERGY ORGANIZATION JOURNAL,2,,Q2
WORLD ARCHAEOLOGY,1,Yes,
WORLD BANK ECONOMIC REVIEW,3,,Q2
WORLD BANK RESEARCH OBSERVER,1,Yes,Q1
WORLD CANCER RESEARCH JOURNAL,4,,Q4
WORLD COMPETITION,4,,Q2
WORLD DEVELOPMENT,1,Yes,Q1
WORLD DEVELOPMENT PERSPECTIVES,3,,Q2
WORLD ECONOMY,3,,Q1
WORLD ELECTRIC VEHICLE JOURNAL,4,,Q2
WORLD ENGLISHES,2,,Q2
WORLD JOURNAL FOR PEDIATRIC AND CONGENITAL HEART SURGERY,4,,Q4
WORLD JOURNAL OF ACUPUNCTURE MOXIBUSTION,4,,Q3
WORLD JOURNAL OF BIOLOGICAL PSYCHIATRY,3,,Q1
WORLD JOURNAL OF CARDIOLOGY,4,,Q2
WORLD JOURNAL OF CLINICAL ONCOLOGY,4,,Q2
WORLD JOURNAL OF DIABETES,4,,Q1
WORLD JOURNAL OF EMERGENCY MEDICINE,3,,Q1
WORLD JOURNAL OF EMERGENCY SURGERY,1,Yes,Q1
WORLD JOURNAL OF ENGINEERING,4,,Q2
WORLD JOURNAL OF ENTREPRENEURSHIP MANAGEMENT AND SUSTAINABLE DEVELOPMENT,4,,Q4
WORLD JOURNAL OF GASTROENTEROLOGY,3,,Q1
WORLD JOURNAL OF GASTROINTESTINAL ENDOSCOPY,4,,Q3
WORLD JOURNAL OF GASTROINTESTINAL ONCOLOGY,4,,Q2
WORLD JOURNAL OF GASTROINTESTINAL SURGERY,4,,Q2
WORLD JOURNAL OF HEPATOLOGY,4,,Q2
WORLD JOURNAL OF MENS HEALTH,3,,Q1
WORLD JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY,3,,Q2
WORLD JOURNAL OF NUCLEAR MEDICINE,4,,Q4
WORLD JOURNAL OF ONCOLOGY,4,,Q3
WORLD JOURNAL OF ORTHOPEDICS,4,,Q2
WORLD JOURNAL OF OTORHINOLARYNGOLOGY HEAD AND NECK SURGERY,3,,Q2
WORLD JOURNAL OF PEDIATRIC SURGERY,4,,Q3
WORLD JOURNAL OF PEDIATRICS,2,,Q1
WORLD JOURNAL OF PLASTIC SURGERY,4,,Q3
WORLD JOURNAL OF PSYCHIATRY,3,,Q2
WORLD JOURNAL OF RADIOLOGY,4,,Q3
WORLD JOURNAL OF STEM CELLS,3,,Q2
WORLD JOURNAL OF SURGERY,3,,Q1
WORLD JOURNAL OF SURGICAL ONCOLOGY,3,,Q1
WORLD JOURNAL OF TRADITIONAL CHINESE MEDICINE,2,,Q2
WORLD JOURNAL OF UROLOGY,2,,Q2
WORLD LEISURE JOURNAL,4,,Q2
WORLD LITERATURE STUDIES,3,,
WORLD LITERATURE TODAY,4,,
WORLD MEDICAL AND HEALTH POLICY,4,,Q4
WORLD MYCOTOXIN JOURNAL,4,,Q3
WORLD NEUROSURGERY,4,,Q2
WORLD NEUROSURGERY X,,,Q2
WORLD OF MEDICINE AND BIOLOGY,4,,Q4
WORLD OF MUSIC NEW SERIES,2,,
WORLD OF ORIENT,,,Q2
WORLD PATENT INFORMATION,4,,Q2
WORLD POLITICS,1,Yes,Q1
WORLD PSYCHIATRY,1,Yes,Q1
WORLD RABBIT SCIENCE,4,,Q3
WORLD REVIEW OF POLITICAL ECONOMY,4,,Q4
WORLD TRADE REVIEW,2,,Q1
WORLD WIDE WEB INTERNET AND WEB INFORMATION SYSTEMS,4,,Q2
WORLDS POULTRY SCIENCE JOURNAL,2,,Q1
WORLDVIEWS GLOBAL RELIGIONS CULTURE AND ECOLOGY,4,,
WORLDVIEWS ON EVIDENCE BASED NURSING,2,,Q1
WORLDWIDE HOSPITALITY AND TOURISM THEMES,4,,Q2
WOUND MANAGEMENT AND PREVENTION,4,,Q4
WOUND PRACTICE AND RESEARCH,4,,Q4
WOUND REPAIR AND REGENERATION,3,,Q1
WOUNDS A COMPENDIUM OF CLINICAL RESEARCH AND PRACTICE,4,,Q3
WPOM WORKING PAPERS ON OPERATIONS MANAGEMENT,4,,Q4
WRITING AND PEDAGOGY,4,,Q4
WRITTEN COMMUNICATION,1,Yes,Q2
WRITTEN LANGUAGE AND LITERACY,3,,
WSPOLCZESNA ONKOLOGIA CONTEMPORARY ONCOLOGY,4,,Q4
