Journal_Normalized,CAS2025_Quartile,CAS2025_Top,JCR_BestQuartile
TERCIO CRECIENTE,4,,
TERMINOLOGY,3,,Q2
TERRA ECONOMICUS,4,,Q3
TERRA LATINOAMERICANA,4,,Q4
TERRA NOVA,3,,Q3
TERRAE INCOGNITAE JOURNAL OF SOCIETY FOR HISTORY OF DISCOVERIES,2,,Q2
TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES,4,,Q3
TERRITOIRE EN MOUVEMENT,4,,Q4
TERRITORIOS,4,,Q4
TERRITORY POLITICS GOVERNANCE,3,,Q1
TERRORISM AND POLITICAL VIOLENCE,2,,Q2
TERTIARY EDUCATION AND MANAGEMENT,4,,Q2
TESL CANADA JOURNAL,4,,Q2
TESOL JOURNAL,4,,Q2
TESOL QUARTERLY,1,Yes,Q1
TEST,3,,Q2
TETHYS JOURNAL OF MEDITERRANEAN METEOROLOGY AND CLIMATOLOGY,,,Q4
TETRAHEDRON,3,,Q2
TETRAHEDRON LETTERS,4,,Q3
TETSU TO HAGANE JOURNAL OF IRON AND STEEL INSTITUTE OF JAPAN,4,,Q4
TEXAS HEART INSTITUTE JOURNAL,4,,Q4
TEXAS LAW REVIEW,2,,Q1
TEXAS STUDIES IN LITERATURE AND LANGUAGE,4,,
TEXT AND KRITIK,4,,
TEXT AND PERFORMANCE QUARTERLY,2,Yes,
TEXT AND TALK,3,,Q3
TEXT MATTERS A JOURNAL OF LITERATURE THEORY AND CULTURE,4,,
TEXTILE CLOTH AND CULTURE,4,,
TEXTILE HISTORY,1,Yes,
TEXTILE PROGRESS,4,,Q1
TEXTILE RESEARCH JOURNAL,4,,Q2
TEXTILES,,,Q1
TEXTO LIVRE LINGUAGEM E TECNOLOGIA,4,,
TEXTUAL PRACTICE,3,,
TEXTUS,3,,
TH OPEN,,,Q3
THAI JOURNAL OF MATHEMATICS,4,,Q4
THAI JOURNAL OF VETERINARY MEDICINE,4,,Q4
THAILAND STATISTICIAN,4,,Q4
THALASSAS,4,,Q4
THALASSEMIA REPORTS,4,,Q4
THEATER,4,,
THEATER HEUTE,4,,
THEATRE DANCE AND PERFORMANCE TRAINING,3,,
THEATRE HISTORY STUDIES,4,,
THEATRE JOURNAL,1,Yes,
THEATRE NOTEBOOK,2,,
THEATRE RESEARCH INTERNATIONAL,3,,
THEATRE SURVEY,2,,
THELEME REVISTA COMPLUTENSE DE ESTUDIOS FRANCESES,4,,
THEMATA REVISTA DE FILOSOFIA,4,,
THEOLOGICAL STUDIES,2,,
THEOLOGY,4,,
THEOLOGY AND SCIENCE,3,,Q2
THEOLOGY AND SEXUALITY,4,,
THEOLOGY TODAY,4,,
THEORETICAL AND APPLIED CLIMATOLOGY,4,,Q3
THEORETICAL AND APPLIED ECOLOGY,4,,Q4
THEORETICAL AND APPLIED FRACTURE MECHANICS,2,Yes,Q1
THEORETICAL AND APPLIED GENETICS,1,Yes,Q1
THEORETICAL AND APPLIED MECHANICS,4,,Q4
THEORETICAL AND APPLIED MECHANICS LETTERS,2,,Q2
THEORETICAL AND COMPUTATIONAL FLUID DYNAMICS,3,,Q2
THEORETICAL AND EXPERIMENTAL CHEMISTRY,4,,Q4
THEORETICAL AND EXPERIMENTAL PLANT PHYSIOLOGY,4,,Q2
THEORETICAL AND MATHEMATICAL PHYSICS,4,,Q3
THEORETICAL AND PRACTICAL ISSUES OF JOURNALISM,4,,Q4
THEORETICAL BIOLOGY FORUM,4,,Q3
THEORETICAL CHEMISTRY ACCOUNTS,4,,Q4
THEORETICAL COMPUTER SCIENCE,4,,Q3
THEORETICAL CRIMINOLOGY,2,,Q2
THEORETICAL ECOLOGY,4,,Q4
THEORETICAL ECONOMICS,3,,Q3
THEORETICAL FOUNDATIONS OF CHEMICAL ENGINEERING,4,,Q4
THEORETICAL ISSUES IN ERGONOMICS SCIENCE,4,,Q3
THEORETICAL LINGUISTICS,2,,Q4
THEORETICAL MEDICINE AND BIOETHICS,3,,Q2
THEORETICAL POPULATION BIOLOGY,4,,Q3
THEORIA,4,,Q3
THEORIA A SWEDISH JOURNAL OF PHILOSOPHY,4,,
THEORIA REVISTA DE TEORIA HISTORIA Y FUNDAMENTOS DE LA CIENCIA,3,,Q3
THEORY AND APPLICATIONS OF CATEGORIES,4,,Q2
THEORY AND DECISION,4,,Q4
THEORY AND PRACTICE OF LEGISLATION,4,,Q2
THEORY AND PRACTICE OF LOGIC PROGRAMMING,2,,Q1
THEORY AND PSYCHOLOGY,4,,Q2
THEORY AND RESEARCH IN EDUCATION,3,,Q3
THEORY AND RESEARCH IN SOCIAL EDUCATION,2,,Q1
THEORY AND SOCIETY,2,,Q2
THEORY CULTURE AND SOCIETY,2,,Q1
THEORY IN ACTION,4,,Q4
THEORY IN BIOSCIENCES,4,,Q3
THEORY INTO PRACTICE,3,,Q2
THEORY OF COMPUTING,4,,Q4
THEORY OF COMPUTING SYSTEMS,4,,Q4
THEORY OF PROBABILITY AND ITS APPLICATIONS,4,,Q4
THEORY OF PROBABILITY AND MATHEMATICAL STATISTICS,4,,Q4
THERANOSTICS,1,Yes,Q1
THERAPEUTIC ADVANCES IN ALLERGY AND RHINOLOGY,4,,Q3
THERAPEUTIC ADVANCES IN CARDIOVASCULAR DISEASE,3,,Q2
THERAPEUTIC ADVANCES IN CHRONIC DISEASE,3,,Q2
THERAPEUTIC ADVANCES IN DRUG SAFETY,3,,Q2
THERAPEUTIC ADVANCES IN ENDOCRINOLOGY AND METABOLISM,3,,Q1
THERAPEUTIC ADVANCES IN GASTROENTEROLOGY,3,,Q2
THERAPEUTIC ADVANCES IN GASTROINTESTINAL ENDOSCOPY,3,,Q3
THERAPEUTIC ADVANCES IN HEMATOLOGY,3,,Q2
THERAPEUTIC ADVANCES IN INFECTIOUS DISEASE,4,,Q2
THERAPEUTIC ADVANCES IN MEDICAL ONCOLOGY,2,,Q2
THERAPEUTIC ADVANCES IN MUSCULOSKELETAL DISEASE,3,,Q1
THERAPEUTIC ADVANCES IN NEUROLOGICAL DISORDERS,2,,Q1
THERAPEUTIC ADVANCES IN OPHTHALMOLOGY,4,,Q2
THERAPEUTIC ADVANCES IN PSYCHOPHARMACOLOGY,3,,Q1
THERAPEUTIC ADVANCES IN PULMONARY AND CRITICAL CARE MEDICINE,4,,Q2
THERAPEUTIC ADVANCES IN REPRODUCTIVE HEALTH,4,,Q2
THERAPEUTIC ADVANCES IN RESPIRATORY DISEASE,3,,Q2
THERAPEUTIC ADVANCES IN UROLOGY,4,,Q1
THERAPEUTIC APHERESIS AND DIALYSIS,4,,Q3
THERAPEUTIC COMMUNITIES,4,,Q4
THERAPEUTIC DELIVERY,4,,Q3
THERAPEUTIC DRUG MONITORING,4,,Q2
THERAPEUTIC HYPOTHERMIA AND TEMPERATURE MANAGEMENT,4,,Q4
THERAPEUTIC INNOVATION AND REGULATORY SCIENCE,4,,Q3
THERAPEUTIC RECREATION JOURNAL,4,,Q4
THERAPEUTICS AND CLINICAL RISK MANAGEMENT,3,,Q2
THERAPEUTISCHE UMSCHAU,4,,Q4
THERAPIE,4,,Q3
THERIOGENOLOGY,2,,Q1
THERMAL ENGINEERING,4,,Q4
THERMAL SCIENCE,4,,Q4
THERMAL SCIENCE AND ENGINEERING PROGRESS,2,,Q1
THERMO,,,Q2
THERMOCHIMICA ACTA,3,,Q2
THERMOPHYSICS AND AEROMECHANICS,4,,Q4
THESIS ELEVEN,3,,Q4
THIN SOLID FILMS,4,,Q3
THIN WALLED STRUCTURES,2,Yes,Q1
THINK PHILOSOPHY FOR EVERYONE,4,,
THINKING AND REASONING,3,,Q2
THINKING SKILLS AND CREATIVITY,2,,Q1
THIRD TEXT,2,,
THIRD WORLD QUARTERLY,2,,Q2
THOMIST,3,,
THORACIC AND CARDIOVASCULAR SURGEON,4,,Q3
THORACIC AND CARDIOVASCULAR SURGEON REPORTS,4,,Q4
THORACIC CANCER,4,,Q2
THORACIC RESEARCH AND PRACTICE,4,,Q4
THORACIC SURGERY CLINICS,4,,Q2
THORAX,1,Yes,Q1
THOUGHT A JOURNAL OF PHILOSOPHY,3,,
THRESHOLDS,4,,
THROMBOSIS AND HAEMOSTASIS,2,Yes,Q1
THROMBOSIS JOURNAL,3,,Q3
THROMBOSIS RESEARCH,3,,Q2
THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,4,,Q2
THYROID,1,Yes,Q1
THYROID RESEARCH,4,,Q4
TICKS AND TICK BORNE DISEASES,2,,Q1
TICONTRE TEORIA TESTO TRADUZIONE,4,,
TIDSSKRIFT FOR DEN NORSKE LAEGEFORENING,4,,Q2
TIDSSKRIFT FOR SAMFUNNSFORSKNING,4,,Q3
TIEMPOS MODERNOS REVISTA ELECTRONICA DE HISTORIA MODERNA,4,,Q3
TIERAERZTLICHE PRAXIS AUSGABE GROSSTIERE NUTZTIERE,4,,Q4
TIERAERZTLICHE PRAXIS AUSGABE KLEINTIERE HEIMTIERE,4,,Q4
TIJDSCHRIFT VOOR COMMUNICATIEWETENSCHAP,4,,Q4
TIJDSCHRIFT VOOR ECONOMISCHE EN SOCIALE GEOGRAFIE,3,,Q2
TIJDSCHRIFT VOOR FILOSOFIE,4,,
TIJDSCHRIFT VOOR GESCHIEDENIS,4,,Q4
TIJDSCHRIFT VOOR NEDERLANDSE TAAL EN LETTERKUNDE,4,,
TIJDSCHRIFT VOOR RECHTSGESCHIEDENIS REVUE D HISTOIRE DU DROIT LEGAL HISTORY REVIEW,3,,Q3
TILBURG LAW REVIEW JOURNAL OF INTERNATIONAL AND EUROPEAN LAW,4,,Q2
TIMARIT UM UPPELDI OG MENNTUN ICELANDIC JOURNAL OF EDUCATION,4,,Q4
TIME AND MIND JOURNAL OF ARCHAEOLOGY CONSCIOUSNESS AND CULTURE,3,,
TIME AND SOCIETY,2,,Q2
TIMING AND TIME PERCEPTION,4,,Q4
TINTAS QUADERNI DI LETTERATURE IBERICHE E IBEROAMERICANE,4,,
TIRANT,4,,
TIRE SCIENCE AND TECHNOLOGY,4,,Q4
TISSUE AND CELL,3,,Q1
TISSUE BARRIERS,4,,Q2
TISSUE ENGINEERING AND REGENERATIVE MEDICINE,3,,Q2
TISSUE ENGINEERING PART A,3,,Q3
TISSUE ENGINEERING PART B REVIEWS,2,,Q2
TISSUE ENGINEERING PART C METHODS,4,,Q3
TIZARD LEARNING DISABILITY REVIEW,4,,Q4
TM TECHNISCHES MESSEN,4,,Q4
TOBACCO CONTROL,2,,Q1
TOBACCO INDUCED DISEASES,3,,Q3
TOBACCO PREVENTION AND CESSATION,4,,Q3
TOBACCO USE INSIGHTS,4,,Q2
TOCQUEVILLE REVIEW,4,,Q4
TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE,4,,Q2
TOHOKU MATHEMATICAL JOURNAL,4,,Q4
TOKYO JOURNAL OF MATHEMATICS,4,,Q4
TOMOGRAPHY,4,,Q2
TOMSK STATE UNIVERSITY JOURNAL,4,,Q4
TOMSKII ZHURNAL LINGVISTICHESKIKH I ANTROPOLOGICHESKIKH ISSLEDOVANII TOMSK JOURNAL OF LINGUISTICS AND ANTHROPOLOGY,4,,Q4
TOP,4,,Q4
TOPIA CANADIAN JOURNAL OF CULTURAL STUDIES,4,,Q4
TOPICOS REVISTA DE FILOSOFIA,4,,
TOPICS IN CATALYSIS,4,,Q2
TOPICS IN CLINICAL NUTRITION,4,,Q4
TOPICS IN COGNITIVE SCIENCE,2,,Q1
TOPICS IN COMPANION ANIMAL MEDICINE,3,,Q2
TOPICS IN CURRENT CHEMISTRY,2,,Q1
TOPICS IN EARLY CHILDHOOD SPECIAL EDUCATION,3,,Q2
TOPICS IN GERIATRIC REHABILITATION,4,,Q4
TOPICS IN LANGUAGE DISORDERS,3,,Q2
TOPICS IN LINGUISTICS,4,,
TOPICS IN SPINAL CORD INJURY REHABILITATION,4,,Q3
TOPICS IN STROKE REHABILITATION,3,,Q1
TOPOI AN INTERNATIONAL REVIEW OF PHILOSOPHY,2,,
TOPOI REVISTA DE HISTORIA,4,,Q3
TOPOLOGICAL METHODS IN NONLINEAR ANALYSIS,4,,Q2
TOPOLOGY AND ITS APPLICATIONS,4,,Q3
TORONTO JOURNAL OF THEOLOGY,4,,
TORRE DEL VIRREY REVISTA DE ESTUDIOS CULTURALES,4,,
TORRES DE LUCCA REVISTA INTERNACIONAL DE FILOSOFIA POLITICA,4,,
TORT LAW REVIEW,4,,Q3
TOTAL QUALITY MANAGEMENT AND BUSINESS EXCELLENCE,4,,Q1
TOTALITARISMUS UND DEMOKRATIE,4,,Q4
TOUNG PAO,4,,
TOURISM,4,,Q3
TOURISM ANALYSIS,4,,Q3
TOURISM AND HOSPITALITY MANAGEMENT CROATIA,4,,Q3
TOURISM AND HOSPITALITY RESEARCH,3,,Q2
TOURISM AND MANAGEMENT STUDIES,4,,Q1
TOURISM CULTURE AND COMMUNICATION,4,,Q4
TOURISM ECONOMICS,3,,Q1
TOURISM GEOGRAPHIES,3,,Q1
TOURISM MANAGEMENT,1,Yes,Q1
TOURISM MANAGEMENT PERSPECTIVES,2,,Q1
TOURISM PLANNING AND DEVELOPMENT,4,,Q2
TOURISM RECREATION RESEARCH,3,,Q2
TOURISM REVIEW,2,Yes,Q1
TOURISM REVIEW INTERNATIONAL,4,,Q3
TOURIST STUDIES,4,,Q2
TOWN AND REGIONAL PLANNING,4,,Q4
TOWN PLANNING REVIEW,3,,Q3
TOXICOLOGIC PATHOLOGY,4,,Q3
TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY,4,,Q4
TOXICOLOGICAL RESEARCH,4,,Q3
TOXICOLOGICAL SCIENCES,3,,Q1
TOXICOLOGIE ANALYTIQUE ET CLINIQUE,4,,Q4
TOXICOLOGY,3,,Q1
TOXICOLOGY AND APPLIED PHARMACOLOGY,3,,Q2
TOXICOLOGY AND ENVIRONMENTAL HEALTH SCIENCES,4,,Q4
TOXICOLOGY AND INDUSTRIAL HEALTH,4,,Q3
TOXICOLOGY COMMUNICATIONS,4,,Q4
TOXICOLOGY IN VITRO,4,,Q3
TOXICOLOGY LETTERS,3,,Q2
TOXICOLOGY MECHANISMS AND METHODS,4,,Q3
TOXICOLOGY RESEARCH,4,,Q3
TOXICON,4,,Q3
TOXICON X,3,,Q2
TOXICS,3,,Q1
TOXIN REVIEWS,4,,Q3
TOXINS,3,,Q1
TPM PHILOSOPHERS MAGAZINE,4,,
TPM TESTING PSYCHOMETRICS METHODOLOGY IN APPLIED PSYCHOLOGY,4,,Q4
TQM JOURNAL,3,,Q2
TRABAJO SOCIAL,4,,Q4
TRABAJO SOCIAL GLOBAL GLOBAL SOCIAL WORK,4,,Q4
TRABAJOS DE PREHISTORIA,3,,Q2
TRABAJOS Y COMUNICACIONES,4,,Q2
TRAC TRENDS IN ANALYTICAL CHEMISTRY,1,Yes,Q1
TRACE ELEMENTS AND ELECTROLYTES,4,,Q4
TRADITIO STUDIES IN ANCIENT AND MEDIEVAL HISTORY THOUGHT AND RELIGION,2,,
TRADITION A JOURNAL OF ORTHODOX JEWISH THOUGHT,4,,
TRADITION AND DISCOVERY,4,,
TRADITIONAL AND KAMPO MEDICINE,4,,Q4
TRADITIONAL MEDICINE RESEARCH,4,,Q3
TRADUMATICA TRADUCCIO I TECNOLOGIES DE LA INFORMACIO I LA COMUNICACIO,3,,Q3
TRAFFIC,3,,Q3
TRAFFIC INJURY PREVENTION,3,,Q3
TRAINING AND EDUCATION IN PROFESSIONAL PSYCHOLOGY,4,,Q3
TRAITEMENT AUTOMATIQUE DES LANGUES,4,,
TRAITEMENT DU SIGNAL,4,,Q4
TRAKYA UNIVERSITY JOURNAL OF NATURAL SCIENCES,4,,Q4
TRAMES JOURNAL OF HUMANITIES AND SOCIAL SCIENCES,4,,Q3
TRANS FORM ACAO,4,,
TRANS PASANDO FRONTERAS,4,,Q4
TRANS REVISTA DE TRADUCTOLOGIA,4,,
TRANS REVISTA TRANSCULTURAL DE MUSICA,3,,
TRANS REVUE DE LITTERATURE GENERALE ET COMPAREE,4,,
TRANS TRANS REGIONAL AND NATIONAL STUDIES OF SOUTHEAST ASIA,4,,Q3
TRANSACTIONS IN GIS,3,,Q1
TRANSACTIONS OF A RAZMADZE MATHEMATICAL INSTITUTE,4,,Q4
TRANSACTIONS OF AMERICAN ENTOMOLOGICAL SOCIETY,4,,Q4
TRANSACTIONS OF AMERICAN FISHERIES SOCIETY,3,,Q3
TRANSACTIONS OF AMERICAN MATHEMATICAL SOCIETY,2,,Q1
TRANSACTIONS OF AMERICAN PHILOLOGICAL ASSOCIATION,1,Yes,
TRANSACTIONS OF ASSOCIATION FOR COMPUTATIONAL LINGUISTICS,2,,Q1
TRANSACTIONS OF CANADIAN SOCIETY FOR MECHANICAL ENGINEERING,4,,Q4
TRANSACTIONS OF CHARLES S PEIRCE SOCIETY,3,,
TRANSACTIONS OF FAMENA,4,,
TRANSACTIONS OF INDIAN CERAMIC SOCIETY,4,,Q3
TRANSACTIONS OF INDIAN INSTITUTE OF METALS,4,,Q3
TRANSACTIONS OF INSTITUTE OF BRITISH GEOGRAPHERS,1,Yes,Q1
TRANSACTIONS OF INSTITUTE OF MEASUREMENT AND CONTROL,4,,Q3
TRANSACTIONS OF INSTITUTE OF METAL FINISHING,4,,Q3
TRANSACTIONS OF JAPAN SOCIETY FOR AERONAUTICAL AND SPACE SCIENCES,4,,Q4
TRANSACTIONS OF KOREAN SOCIETY OF MECHANICAL ENGINEERS A,4,,Q4
TRANSACTIONS OF KOREAN SOCIETY OF MECHANICAL ENGINEERS B,4,,Q4
TRANSACTIONS OF LONDON MATHEMATICAL SOCIETY,2,,Q2
TRANSACTIONS OF NONFERROUS METALS SOCIETY OF CHINA,2,,Q1
TRANSACTIONS OF PHILOLOGICAL SOCIETY,3,,
TRANSACTIONS OF ROYAL SOCIETY OF SOUTH AUSTRALIA,4,,Q3
TRANSACTIONS OF ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE,4,,Q3
TRANSACTIONS OF TIANJIN UNIVERSITY,3,,Q1
TRANSACTIONS ON COMBINATORICS,4,,Q3
TRANSACTIONS ON DATA PRIVACY,4,,Q4
TRANSACTIONS ON ELECTRICAL AND ELECTRONIC MATERIALS,4,,Q3
TRANSACTIONS ON EMERGING TELECOMMUNICATIONS TECHNOLOGIES,4,,Q3
TRANSACTIONS ON MARITIME SCIENCE TOMS,4,,Q3
TRANSBOUNDARY AND EMERGING DISEASES,2,,Q1
TRANSCRIPTION AUSTIN,3,,Q2
TRANSCULTURAL PSYCHIATRY,3,,Q1
TRANSCULTURAL STUDIES,4,,Q2
TRANSFER EUROPEAN REVIEW OF LABOUR AND RESEARCH,3,,Q1
TRANSFERS INTERDISCIPLINARY JOURNAL OF MOBILITY STUDIES,4,,Q2
TRANSFORMATION AN INTERNATIONAL JOURNAL OF HOLISTIC MISSION STUDIES,4,,
TRANSFORMATION CRITICAL PERSPECTIVES ON SOUTHERN AFRICA,4,,Q3
TRANSFORMATION GROUPS,4,,
TRANSFORMATIONS IN BUSINESS AND ECONOMICS,4,,Q2
TRANSFORMING ANTHROPOLOGY,2,,Q2
TRANSFORMING GOVERNMENT PEOPLE PROCESS AND POLICY,4,,Q2
TRANSFUSION,3,,Q3
TRANSFUSION AND APHERESIS SCIENCE,4,,Q4
TRANSFUSION CLINIQUE ET BIOLOGIQUE,4,,Q4
TRANSFUSION MEDICINE,4,,Q3
TRANSFUSION MEDICINE AND HEMOTHERAPY,4,,Q3
TRANSFUSION MEDICINE REVIEWS,2,,Q2
TRANSFUSIONSMEDIZIN,4,,Q4
TRANSGENDER HEALTH,3,,Q3
TRANSGENIC RESEARCH,3,,Q3
TRANSINFORMACAO,4,,Q3
TRANSITION,4,,Q4
TRANSITION METAL CHEMISTRY,4,,Q3
TRANSLATION AND INTERPRETING INTERNATIONAL JOURNAL OF TRANSLATION AND INTERPRETING,2,,Q2
TRANSLATION AND INTERPRETING STUDIES,2,,Q3
TRANSLATION AND LITERATURE,2,,
TRANSLATION AND TRANSLANGUAGING IN MULTILINGUAL CONTEXTS,2,,Q2
